total_timesteps,fps,explained_variance,nupdates,policy_entropy,value_loss,avgReward
4480000,948,0.7986670285463333,56000,0.9846535921096802,0.009611710906028748,2.060656374692917
4488000,948,0.7436475455760956,56100,0.9155071377754211,0.03951839357614517,2.184152400493622
4496000,948,0.6767197251319885,56200,0.7608195543289185,0.015256074257194996,1.8948907852172852
4504000,948,0.4641002416610718,56300,0.871170699596405,0.019023865461349487,1.9536675229668616
4512000,948,0.7437437474727631,56400,0.9925435781478882,0.024257566779851913,2.070401805639267
4520000,948,0.8255434930324554,56500,0.9924551248550415,0.014667552895843983,1.918909054994583
4528000,948,0.8457387834787369,56600,1.0583397150039673,0.03671088069677353,2.0214085981249807
4536000,949,0.8167936503887177,56700,1.0300257205963135,0.014468276873230934,2.0427957072854044
4544000,949,0.838559478521347,56800,0.9681702852249146,0.037292640656232834,2.0934719279408456
4552000,949,0.9317282363772392,56900,1.0089234113693237,0.009221583604812622,1.8096358999609947
4560000,949,0.6921533644199371,57000,0.9576776623725891,0.023265648633241653,1.9452630490064622
4568000,949,0.6917795538902283,57100,0.9747743606567383,0.014283798635005951,2.340245857834816
4576000,949,0.3517971634864807,57200,0.9852913618087769,0.019757114350795746,2.124785803258419
4584000,949,0.7903584092855453,57300,1.0453073978424072,0.009370115585625172,1.9249153792858125
4592000,949,0.5680505335330963,57400,0.9838857650756836,0.11060965061187744,1.532223916426301
4600000,950,0.8791925460100174,57500,1.0292257070541382,0.0075142765417695045,2.4711131498217584
4608000,950,0.5846520364284515,57600,1.026397943496704,0.02782491222023964,2.2283093765378
4616000,950,0.6305748224258423,57700,0.9810016751289368,0.05205665901303291,1.6077030070126057
4624000,950,0.8382595628499985,57800,1.0086313486099243,0.013144236989319324,2.103877839446068
4632000,950,0.6368066668510437,57900,1.0462709665298462,0.019377995282411575,2.040379472076893
4640000,950,0.7441397905349731,58000,0.9471187591552734,0.01248112227767706,1.9816673129796982
4648000,950,0.8049172312021255,58100,1.0428575277328491,0.0106014683842659,2.117943175137043
4656000,951,0.8461777567863464,58200,1.0142688751220703,0.009589722380042076,2.067476697266102
4664000,951,0.6490315198898315,58300,0.8763774633407593,0.0995839536190033,1.865986095368862
4672000,951,0.7830422073602676,58400,0.9979134798049927,0.014611986465752125,2.0599490329623222
4680000,951,0.5071899592876434,58500,0.9523218274116516,0.08023550361394882,2.2270219758152963
4688000,951,0.7921186089515686,58600,0.9582723379135132,0.024925151839852333,2.1542371958494186
4696000,951,0.6142882704734802,58700,1.0412884950637817,0.033847711980342865,2.1172782830893992
4704000,951,0.7124873995780945,58800,0.9864940643310547,0.019857257604599,2.0389383122324944
4712000,951,0.820424497127533,58900,0.9645489454269409,0.010812093503773212,1.962249581515789
4720000,952,0.44798362255096436,59000,1.0792591571807861,0.09102052450180054,1.8705522417090834
4728000,952,0.5391131937503815,59100,0.9763242602348328,0.17574185132980347,2.4679825723171236
4736000,952,0.7370931208133698,59200,0.9743453860282898,0.02643471583724022,2.116589392721653
