total_timesteps,explained_variance,value_loss,policy_entropy,fps,nupdates
83056000,0.9915310861542821,0.07243029028177261,1.1086913347244263,2021,1038200
83064000,0.9913465948775411,0.02121741510927677,1.0231618881225586,2021,1038300
83072000,0.8047438114881516,0.8861880302429199,1.1117678880691528,2021,1038400
83080000,0.951867863535881,0.1630730926990509,0.903174877166748,2021,1038500
83088000,0.9970023124478757,0.00979185663163662,1.1083693504333496,2021,1038600
83096000,0.9576615691184998,0.06548595428466797,1.0710548162460327,2021,1038700
83104000,0.9676375687122345,0.08593618869781494,1.0679994821548462,2021,1038800
83112000,0.9867587564513087,0.026394406333565712,1.2007089853286743,2021,1038900
83120000,0.9936546352691948,0.023122597485780716,1.0875743627548218,2021,1039000
83128000,0.9810680206865072,0.047233860939741135,0.9981269836425781,2021,1039100
83136000,0.9875866249203682,0.05723859742283821,1.0701558589935303,2021,1039200
83144000,0.9870866285637021,0.03292755037546158,1.142685890197754,2021,1039300
83152000,0.9915957851335406,0.01860365830361843,1.0516644716262817,2021,1039400
83160000,0.9938616813160479,0.026430943980813026,0.9641885757446289,2021,1039500
83168000,0.9893162725493312,0.013065628707408905,1.2209736108779907,2021,1039600
83176000,0.9822375532239676,0.03140207752585411,1.096820592880249,2021,1039700
83184000,0.9812444411218166,0.034080952405929565,0.995553195476532,2021,1039800
83192000,0.9865348367020488,0.04724578931927681,1.1723806858062744,2021,1039900
83200000,0.972966505214572,0.07900559902191162,1.088789463043213,2021,1040000
83208000,0.9933964489027858,0.034779153764247894,1.105621337890625,2021,1040100
83216000,0.9967500842176378,0.024690620601177216,1.137988805770874,2021,1040200
83224000,0.9837666787207127,0.04406776651740074,1.0029067993164062,2021,1040300
83232000,0.974339859560132,0.09650056064128876,1.0038844347000122,2021,1040400
83240000,0.9857929116114974,0.02320891246199608,1.1825435161590576,2021,1040500
83248000,0.997783180559054,0.010299225337803364,1.1426217555999756,2021,1040600
83256000,0.9967691795900464,0.024317704141139984,1.0984084606170654,2021,1040700
83264000,0.9720374941825867,0.05998184159398079,1.1119959354400635,2021,1040800
83272000,0.9875065423548222,0.029614876955747604,1.064779281616211,2021,1040900
83280000,0.9828457329422235,0.04733498767018318,1.1609814167022705,2021,1041000
83288000,0.9826743733137846,0.08280938118696213,1.1479357481002808,2021,1041100
83296000,0.9962161376606673,0.014795174822211266,1.0183433294296265,2021,1041200
83304000,0.992821135558188,0.02003345638513565,1.1314746141433716,2021,1041300
83312000,0.9713672772049904,0.053585220128297806,1.0064009428024292,2021,1041400
83320000,0.9894964387640357,0.04997003823518753,1.0818531513214111,2021,1041500
83328000,0.9925969541072845,0.010661899112164974,1.0644638538360596,2021,1041600
83336000,0.986255039460957,0.12707966566085815,0.9932939410209656,2021,1041700
83344000,0.985172220505774,0.07232488691806793,1.1221531629562378,2021,1041800
83352000,0.9906836934387684,0.020019449293613434,0.925257682800293,2021,1041900
83360000,0.9877245165407658,0.049631744623184204,1.1651362180709839,2021,1042000
83368000,0.9737797621637583,0.028369873762130737,1.1612762212753296,2021,1042100
83376000,0.9919284181669354,0.031745873391628265,1.12350332736969,2021,1042200
83384000,0.993475082796067,0.03302118927240372,1.0501388311386108,2021,1042300
83392000,0.9934186199679971,0.015720184892416,1.099458932876587,2021,1042400
83400000,0.9883600668981671,0.025298725813627243,1.1012375354766846,2021,1042500
83408000,0.7547564804553986,0.6761394143104553,0.975633442401886,2021,1042600
83416000,0.9933670586906374,0.034500885754823685,1.044506311416626,2021,1042700
83424000,0.9806517604738474,0.034523047506809235,0.9748519659042358,2021,1042800
83432000,0.9966845051385462,0.00749678909778595,1.0730092525482178,2021,1042900
83440000,0.9937386568635702,0.02459447644650936,1.1436258554458618,2021,1043000
83448000,0.9890877138823271,0.08953376114368439,1.050931453704834,2021,1043100
83456000,0.9694415777921677,0.055675458163022995,1.2396571636199951,2021,1043200
83464000,0.9945236486382782,0.012484081089496613,1.1148157119750977,2021,1043300
83472000,0.9887821301817894,0.023569965735077858,1.09956955909729,2021,1043400
83480000,0.996160053415224,0.018478887155652046,1.056397795677185,2021,1043500
83488000,0.9881250653415918,0.021418225020170212,0.983326256275177,2021,1043600
83496000,0.9870086768642068,0.02009723149240017,1.066801905632019,2021,1043700
83504000,0.9916405761614442,0.04852303862571716,1.162410855293274,2021,1043800
83512000,0.9771510772407055,0.03673934191465378,1.0074923038482666,2021,1043900
83520000,0.9782986547797918,0.05250369757413864,1.0842422246932983,2021,1044000
83528000,0.9949933625757694,0.01100214384496212,1.2128080129623413,2021,1044100
83536000,0.9923960077576339,0.016776006668806076,1.1598007678985596,2021,1044200
83544000,0.9665398448705673,0.11632122099399567,1.1642340421676636,2021,1044300
83552000,0.9762456901371479,0.02552654780447483,1.0830256938934326,2021,1044400
83560000,0.9856183072552085,0.02931678667664528,1.0808557271957397,2021,1044500
83568000,0.9428038001060486,0.144280344247818,1.129999041557312,2021,1044600
83576000,0.9367721900343895,0.07872643321752548,1.1194766759872437,2021,1044700
83584000,0.9856902146711946,0.056024156510829926,1.1652756929397583,2021,1044800
83592000,0.9854378225281835,0.028067704290151596,1.165166974067688,2021,1044900
83600000,0.9939679666422307,0.022597607225179672,0.9290075302124023,2021,1045000
83608000,0.9920046329498291,0.03424590826034546,1.1749203205108643,2021,1045100
83616000,0.9783753678202629,0.05309217423200607,1.1537120342254639,2021,1045200
83624000,0.9713543504476547,0.18559493124485016,1.0881764888763428,2021,1045300
83632000,0.9880420127883554,0.09279407560825348,1.0920050144195557,2021,1045400
83640000,0.9909638343378901,0.007789008319377899,1.1418514251708984,2021,1045500
83648000,0.9954601773060858,0.01071134489029646,1.2010120153427124,2021,1045600
83656000,0.9607882052659988,0.1681402176618576,1.1673729419708252,2021,1045700
83664000,0.8791285008192062,0.22578445076942444,1.1924216747283936,2021,1045800
83672000,0.9799728151410818,0.040753114968538284,1.1388709545135498,2021,1045900
83680000,0.9930515866726637,0.025523915886878967,1.1977872848510742,2021,1046000
83688000,0.9925768631510437,0.013095306232571602,1.1806013584136963,2021,1046100
83696000,0.9949729624204338,0.01610221341252327,1.1321732997894287,2021,1046200
83704000,0.9944338332861662,0.0232284776866436,1.0145304203033447,2021,1046300
83712000,0.6220031678676605,0.9346386790275574,0.9954184293746948,2022,1046400
83720000,0.9578478001058102,0.16780850291252136,1.0821683406829834,2022,1046500
83728000,0.9878424201160669,0.021666914224624634,1.1654598712921143,2022,1046600
83736000,0.9914096388965845,0.03158874064683914,1.159058690071106,2022,1046700
83744000,0.9744122959673405,0.07522185146808624,1.0682255029678345,2022,1046800
83752000,0.9864891348406672,0.036787860095500946,1.184650182723999,2022,1046900
83760000,0.9849280612543225,0.03787451609969139,1.1309219598770142,2022,1047000
83768000,0.5674512386322021,0.9821569323539734,1.0463030338287354,2022,1047100
83776000,0.9681133590638638,0.0720524936914444,1.0637245178222656,2022,1047200
83784000,0.990749841555953,0.02481974847614765,1.1504956483840942,2022,1047300
83792000,0.9759676493704319,0.09293126314878464,1.1409597396850586,2022,1047400
83800000,0.9839265663176775,0.015121790580451488,1.2549989223480225,2022,1047500
83808000,0.9867704827338457,0.07577310502529144,1.0151509046554565,2022,1047600
83816000,0.3906310796737671,1.2316960096359253,1.1487061977386475,2022,1047700
83824000,0.9491152986884117,0.09498360753059387,1.1531896591186523,2022,1047800
83832000,0.9951892229728401,0.01107835490256548,1.1921050548553467,2022,1047900
83840000,0.9680220149457455,0.05069015175104141,1.0321319103240967,2022,1048000
83848000,0.9874897375702858,0.019777348265051842,1.2021950483322144,2022,1048100
83856000,0.9620015919208527,0.07436944544315338,1.0843955278396606,2022,1048200
83864000,0.9832880925387144,0.04915640503168106,1.0762943029403687,2022,1048300
83872000,0.995045225135982,0.013542716391384602,1.2317183017730713,2022,1048400
83880000,0.9933349839411676,0.032306917011737823,1.2036364078521729,2022,1048500
83888000,0.9710299614816904,0.05646231770515442,1.0726324319839478,2022,1048600
83896000,0.9934919117949903,0.02347400039434433,1.08372163772583,2022,1048700
83904000,0.9949375465512276,0.0298034455627203,1.106114149093628,2022,1048800
83912000,0.971623383462429,0.0703708603978157,1.19135320186615,2022,1048900
83920000,0.9966677625197917,0.005790489260107279,1.1457545757293701,2022,1049000
83928000,0.9820298384875059,0.03427920490503311,1.1265946626663208,2022,1049100
83936000,0.9901491887867451,0.04365719109773636,0.9997426271438599,2022,1049200
83944000,0.9739174414426088,0.030493220314383507,1.1346153020858765,2022,1049300
83952000,0.9696268457919359,0.07748707383871078,1.044163465499878,2022,1049400
83960000,0.989571494050324,0.03585188835859299,1.0975563526153564,2022,1049500
83968000,0.9307025894522667,0.11649560928344727,1.1484591960906982,2022,1049600
