explained_variance,value_loss,nupdates,fps,total_timesteps,policy_entropy
-1.0849881172180176,2.0527133770542605e-08,1148400,1350,91872000,2.890371322631836
-3.635396957397461,1.4947229232120662e-08,1148500,1350,91880000,2.890371322631836
-1.4241652488708496,9.983085469400521e-09,1148600,1350,91888000,2.890371322631836
-4.0377888679504395,2.7206215946762313e-08,1148700,1350,91896000,2.890371322631836
-1.9800732135772705,1.0538218297995172e-08,1148800,1350,91904000,2.890371322631836
-0.5354759693145752,1.0824555474187036e-08,1148900,1350,91912000,2.890371322631836
-8.86169147491455,1.9737916190365468e-08,1149000,1350,91920000,2.890371322631836
-5.578026294708252,3.572480267166611e-08,1149100,1350,91928000,2.890371322631836
-2.612138271331787,5.875969044666363e-09,1149200,1350,91936000,2.890371561050415
-0.8354377746582031,4.211863213754441e-08,1149300,1349,91944000,2.890371322631836
-0.1025460958480835,2.926759945509616e-09,1149400,1349,91952000,2.890371322631836
-3.541231155395508,1.9935811224058853e-08,1149500,1349,91960000,2.890371322631836
-0.28508567810058594,5.933460389684342e-09,1149600,1349,91968000,2.890371561050415
-5.592915058135986,8.947875329567978e-09,1149700,1349,91976000,2.890371561050415
-0.21625149250030518,1.686605521911133e-08,1149800,1349,91984000,2.890371322631836
-2.044919729232788,1.0971901609480028e-08,1149900,1349,91992000,2.890371561050415
-1.4934768676757812,1.1794085708061175e-08,1150000,1349,92000000,2.890371322631836
-5.093964099884033,1.4298377593036093e-08,1150100,1349,92008000,2.890371322631836
-2.1113574504852295,7.084659081613154e-09,1150200,1349,92016000,2.890371322631836
-0.516456127166748,4.125421337874968e-09,1150300,1348,92024000,2.890371322631836
-7.252599716186523,7.056523365633893e-09,1150400,1348,92032000,2.890371561050415
-0.32010412216186523,1.0248148996083728e-08,1150500,1348,92040000,2.890371322631836
-1.3464529514312744,4.588708968356059e-09,1150600,1348,92048000,2.890371322631836
-0.05315971374511719,5.9947744546207105e-09,1150700,1348,92056000,2.890371322631836
-0.7617466449737549,1.4051690477856482e-08,1150800,1348,92064000,2.890371322631836
-3.602421283721924,1.3905496309973842e-08,1150900,1348,92072000,2.890371322631836
-1.1945950984954834,5.259548352398724e-09,1151000,1348,92080000,2.890371561050415
0.09295165538787842,6.383318407188199e-08,1151100,1348,92088000,2.890371322631836
-7.5019731521606445,1.9460479450117418e-08,1151200,1348,92096000,2.890371322631836
-9.41541862487793,1.8818639091477962e-08,1151300,1348,92104000,2.890371322631836
-1.4554011821746826,9.70840652314564e-09,1151400,1347,92112000,2.890368938446045
0.10217243432998657,4.38377778522181e-09,1151500,1347,92120000,2.890369415283203
-7.281411170959473,2.3838230944761563e-08,1151600,1347,92128000,2.890369415283203
-2.250192642211914,7.995644146774339e-09,1151700,1347,92136000,2.8903696537017822
-2.391112804412842,6.834489418849898e-09,1151800,1347,92144000,2.8903698921203613
-2.652458906173706,1.2443676311590934e-08,1151900,1347,92152000,2.8903698921203613
-1.9011895656585693,1.1836535307452323e-08,1152000,1347,92160000,2.8903698921203613
-1.1855800151824951,4.2157914492690907e-08,1152100,1347,92168000,2.8903701305389404
-0.8053799867630005,7.637477317246066e-09,1152200,1347,92176000,2.8903701305389404
-7.993075370788574,3.5315643742706015e-08,1152300,1347,92184000,2.8903703689575195
-2.987053155899048,1.0479054068923688e-08,1152400,1347,92192000,2.8903703689575195
-0.6502186059951782,1.3801349396658225e-08,1152500,1346,92200000,2.8903706073760986
-1.449892520904541,9.831338410037915e-09,1152600,1346,92208000,2.8903701305389404
-1.0181884765625,2.113130470604574e-08,1152700,1346,92216000,2.8903708457946777
-0.15193581581115723,4.960312605106765e-09,1152800,1346,92224000,2.8903708457946777
-0.6181319952011108,6.821444742399763e-09,1152900,1346,92232000,2.8903708457946777
-8.495656967163086,3.1130760191899753e-08,1153000,1346,92240000,2.8903708457946777
-2.604724645614624,1.332596166747635e-08,1153100,1346,92248000,2.8903706073760986
-0.5228737592697144,4.66394176612539e-08,1153200,1346,92256000,2.890366792678833
-0.02713608741760254,1.3315636593347335e-08,1153300,1346,92264000,2.890367031097412
-3.867607593536377,1.974235530610713e-08,1153400,1346,92272000,2.890367269515991
0.05704599618911743,7.1918249133773315e-09,1153500,1346,92280000,2.890367031097412
0.04520910978317261,5.855763429707395e-09,1153600,1345,92288000,2.8903679847717285
0.07734614610671997,8.561427122799614e-09,1153700,1345,92296000,2.8903684616088867
-0.9194533824920654,1.1605928662561382e-08,1153800,1345,92304000,2.890368700027466
-2.5372211933135986,1.6229082078211832e-08,1153900,1345,92312000,2.890368700027466
-0.4171227216720581,1.4176471552218572e-08,1154000,1345,92320000,2.890368938446045
-1.5566389560699463,2.4490418581990525e-08,1154100,1345,92328000,2.890369176864624
-1.6429111957550049,1.4713539719934943e-08,1154200,1345,92336000,2.890369415283203
-7.312091827392578,1.533349092142089e-08,1154300,1345,92344000,2.8903696537017822
-0.7504866123199463,6.8151573273667054e-09,1154400,1345,92352000,2.8903698921203613
-0.8753671646118164,7.622395159501139e-09,1154500,1345,92360000,2.8903698921203613
-1.5518503189086914,2.0334812944611258e-08,1154600,1345,92368000,2.8903698921203613
-2.0143141746520996,1.4833609895958944e-08,1154700,1344,92376000,2.8903698921203613
0.28272008895874023,3.3852347591789567e-09,1154800,1344,92384000,2.8903701305389404
-5.285031318664551,6.427945464793083e-08,1154900,1344,92392000,2.8903703689575195
-3.2506632804870605,1.2221216039165483e-08,1155000,1344,92400000,2.8903706073760986
-1.0633513927459717,1.2149262929028737e-08,1155100,1344,92408000,2.8903706073760986
-0.6471341848373413,7.835565973834946e-09,1155200,1344,92416000,2.8903706073760986
-0.23258626461029053,5.720513129858773e-08,1155300,1344,92424000,2.8903708457946777
0.13610100746154785,6.551061915160972e-09,1155400,1344,92432000,2.8903708457946777
-0.475925087928772,8.658367356417784e-09,1155500,1344,92440000,2.8903706073760986
-0.16632795333862305,2.1080202472489873e-08,1155600,1344,92448000,2.8903706073760986
-2.654845714569092,7.242631827608648e-09,1155700,1344,92456000,2.8903708457946777
0.5694825649261475,2.241043350892369e-09,1155800,1343,92464000,2.8903708457946777
-0.1303706169128418,3.4593052866682683e-09,1155900,1343,92472000,2.8903708457946777
-0.23242008686065674,6.987034062433395e-09,1156000,1343,92480000,2.8903708457946777
0.09708011150360107,3.8477696584493515e-09,1156100,1343,92488000,2.8903706073760986
-9.165125846862793,2.5091967614798705e-08,1156200,1343,92496000,2.8903708457946777
-0.2536419630050659,1.1645248321201507e-07,1156300,1343,92504000,2.890371322631836
-2.3606386184692383,1.5353672111473315e-08,1156400,1343,92512000,2.890371084213257
-0.6020529270172119,6.761828874601861e-09,1156500,1343,92520000,2.890371322631836
0.38704800605773926,2.503277585219621e-09,1156600,1343,92528000,2.890371322631836
-0.09799885749816895,2.4724792524466466e-07,1156700,1343,92536000,2.8903586864471436
0.04771685600280762,3.2279324102546525e-08,1156800,1343,92544000,2.890359401702881
0.37552815675735474,2.110547292488718e-08,1156900,1342,92552000,2.8903603553771973
