total_timesteps,avg reward,fps,policy_entropy,value_loss,nupdates,explained_variance
2888000,0.005359709112963173,2020,2.1971993446350098,7.884302249294706e-06,36100,-1.050826072692871
2896000,0.002542421707767062,2020,2.1972198486328125,4.509288828558056e-06,36200,-0.20753836631774902
2904000,0.0007849687448469922,2021,2.1972179412841797,2.1825228031957522e-05,36300,-0.9564869403839111
2912000,-0.0005089505639716662,2021,2.1972193717956543,1.8352882307226537e-06,36400,-0.9723260402679443
2920000,0.003114010674471501,2021,2.197216033935547,2.8838994694524445e-05,36500,-0.5491104125976562
2928000,-0.0006546031933794439,2020,2.197219133377075,5.789800525235478e-06,36600,-1.1009011268615723
2936000,-0.0016191850390896434,2020,2.1971957683563232,6.599161224585259e-06,36700,-1.6727550029754639
2944000,-0.00035867798960680374,2021,2.1972010135650635,6.08948039371171e-06,36800,-0.4331916570663452
2952000,0.0013255952128929493,2021,2.197218418121338,1.1700806680892128e-05,36900,-0.4679889678955078
2960000,0.001902655776939355,2021,2.197218418121338,1.0773478607006837e-05,37000,-2.417414903640747
2968000,0.000685643601900665,2021,2.1972198486328125,2.1232890503597446e-06,37100,0.12126928567886353
2976000,0.0009519353457108082,2021,2.1972174644470215,3.456905687926337e-05,37200,-0.8800811767578125
2984000,0.0024334390363947023,2020,2.197221279144287,3.229303274565609e-06,37300,-0.15720641613006592
2992000,-0.0005241356677288423,2021,2.197200298309326,2.4896908144000918e-06,37400,-0.5061843395233154
3000000,-5.7002471658051944e-05,2021,2.1972219944000244,4.989135049981996e-06,37500,-0.0906977653503418
3008000,-0.0016944964499998605,2021,2.197219133377075,1.3680500160262454e-05,37600,-0.8577244281768799
3016000,-0.0014953560905269115,2021,2.1972217559814453,1.6236499504884705e-06,37700,-0.2049717903137207
3024000,-0.00257962661471538,2021,2.197219133377075,1.5796254956512712e-05,37800,-1.7032885551452637
3032000,0.002915910513002018,2021,2.1972227096557617,4.652719326259103e-06,37900,-0.9520043134689331
3040000,0.0012036532434649416,2021,2.1972222328186035,3.2115617614181247e-06,38000,-0.133270263671875
3048000,0.007380367525911424,2021,2.1971993446350098,4.836853804590646e-06,38100,0.4815712571144104
3056000,0.0009438939374376787,2021,2.197221279144287,6.254316303966334e-06,38200,-0.5296047925949097
3064000,0.0014374965961906128,2021,2.1972172260284424,1.2500403499871027e-05,38300,-2.258230447769165
3072000,-0.000281439994705579,2022,2.1972198486328125,2.0657575987570453e-06,38400,-2.0942635536193848
3080000,0.0010146846601855942,2022,2.1972129344940186,2.7366349968360737e-05,38500,-0.5109908580780029
3088000,0.00032475297539349415,2021,2.1972193717956543,3.841391844616737e-06,38600,-0.5113798379898071
3096000,0.0019955803696575457,2021,2.1972031593322754,2.584483809187077e-06,38700,-0.7545971870422363
3104000,0.001179387304591728,2021,2.197218656539917,6.535838565469021e-06,38800,-0.3243429660797119
3112000,-0.00038531055288331116,2021,2.1972150802612305,1.2829497791244648e-05,38900,-0.2954280376434326
3120000,-0.000306292735444913,2021,2.197216749191284,6.724595550622325e-06,39000,-0.23956215381622314
3128000,-0.0003012449324614863,2021,2.1972174644470215,6.136720912763849e-06,39100,-1.1779518127441406
3136000,-0.0009250735329260351,2021,2.1972126960754395,1.9998615243821405e-05,39200,-0.9080326557159424
3144000,1.256580681001651e-05,2020,2.197218894958496,2.5658953290985664e-06,39300,-0.48550570011138916
3152000,0.0007695422163038756,2021,2.197200298309326,4.150145286985207e-06,39400,-1.339228630065918
3160000,0.0018202039878133292,2021,2.1972203254699707,3.127961008431157e-06,39500,-2.024289846420288
3168000,0.0009579570272762794,2021,2.1972174644470215,9.411068276676815e-06,39600,-0.4924987554550171
3176000,-0.0010620363300404279,2021,2.197221279144287,1.5084842743817717e-06,39700,-0.6675776243209839
3184000,0.0009472797892442486,2021,2.1972179412841797,1.0506127182452474e-05,39800,-1.937422513961792
3192000,0.0025633456130890408,2020,2.1972222328186035,3.9794140320736915e-06,39900,-2.1203677654266357
3200000,0.0027266468132438604,2020,2.1972217559814453,3.451346856309101e-06,40000,-1.0428671836853027
3208000,0.0015710204774222803,2020,2.197202205657959,4.090931270184228e-06,40100,-0.07091319561004639
3216000,0.0016112959880047128,2021,2.1972222328186035,3.401347157705459e-06,40200,-0.8375521898269653
3224000,-0.0010919792493950808,2021,2.1972198486328125,1.7864873370854184e-05,40300,-0.1699662208557129
3232000,-0.0012615949145583726,2021,2.1972217559814453,1.946939619301702e-06,40400,-0.6768932342529297
3240000,0.002337842422275571,2021,2.1972174644470215,3.593275687308051e-05,40500,-0.8994866609573364
3248000,-0.0005948785962573311,2020,2.197221279144287,3.0036528642085614e-06,40600,-0.9975988864898682
3256000,-0.0025577194594006867,2021,2.197202682495117,3.0405979032366304e-06,40700,0.08228498697280884
3264000,-0.00187972521298434,2021,2.1972222328186035,4.48157425125828e-06,40800,-0.013823151588439941
3272000,-0.0022424048255516027,2021,2.197218894958496,1.0944876521534752e-05,40900,-1.5638575553894043
3280000,-0.0014564147671990214,2021,2.1972227096557617,1.7645328398430138e-06,41000,-0.5482077598571777
3288000,-0.001216922831554257,2021,2.197219133377075,2.010429307119921e-05,41100,-0.5782933235168457
3296000,0.0006169226448037079,2021,2.197221517562866,9.609988410375081e-06,41200,-2.51069712638855
3304000,0.0017201266065967503,2020,2.1972222328186035,4.744274519907776e-06,41300,-0.9897547960281372
3312000,-0.0031271265252144076,2020,2.197213649749756,4.216784418531461e-06,41400,0.3164730668067932
3320000,0.002741394409440545,2021,2.1972222328186035,8.079421604634263e-06,41500,-0.6436549425125122
3328000,0.0003918513557437109,2021,2.197218418121338,1.8639817426446825e-05,41600,-1.1043224334716797
3336000,-0.0010108848051459062,2021,2.1972222328186035,2.0494203454290982e-06,41700,0.22986125946044922
3344000,-0.001311777344380971,2021,2.197218418121338,1.8280949007021263e-05,41800,-0.13272762298583984
3352000,-0.0005562977627960209,2020,2.197221279144287,3.016207529071835e-06,41900,-0.3707890510559082
3360000,-4.048654118378181e-05,2020,2.197221279144287,3.347674692122382e-06,42000,-0.24541056156158447
3368000,-0.0026961824636600796,2021,2.1972174644470215,6.725816092512105e-06,42100,-0.8548338413238525
3376000,0.0005764465154697973,2021,2.1972222328186035,2.6684651857067365e-06,42200,-0.164292573928833
3384000,0.001319716549005534,2021,2.1972203254699707,1.8257367628393695e-05,42300,-1.8470873832702637
3392000,-1.0880265688228973e-05,2021,2.19722318649292,1.3802057310385862e-06,42400,-0.46346068382263184
3400000,0.0011302037444693269,2021,2.197218894958496,2.5892359190038405e-05,42500,-0.2869696617126465
3408000,0.00022711319325026126,2020,2.1972227096557617,2.989677795994794e-06,42600,-0.6856743097305298
3416000,-0.00031248095619957895,2021,2.1972174644470215,2.873222456400981e-06,42700,-0.4499809741973877
3424000,0.0008875277389961411,2021,2.1972222328186035,4.280800567357801e-06,42800,-0.02948606014251709
3432000,0.0013113176486513113,2021,2.1972203254699707,1.222943865286652e-05,42900,-0.12846791744232178
3440000,-0.001520544002050883,2021,2.197221279144287,1.6798258002381772e-06,43000,-0.6072726249694824
3448000,-0.0015577391299757438,2021,2.1972198486328125,1.4197304153640289e-05,43100,-1.5715577602386475
3456000,-0.001638758249464445,2020,2.1972222328186035,6.6845577748608775e-06,43200,-1.2729010581970215
3464000,-0.0005878125724734673,2020,2.197221279144287,4.477589754969813e-06,43300,-0.3567267656326294
3472000,-0.0005481731770487386,2021,2.197214365005493,4.564643859339412e-06,43400,-1.6973044872283936
3480000,-0.0005032291905905595,2021,2.197221279144287,4.377880941319745e-06,43500,-1.5642359256744385
3488000,-0.0024628250827845475,2021,2.197221279144287,1.7825854229158722e-05,43600,-1.152207851409912
