nupdates,fps,explained_variance,policy_entropy,total_timesteps,value_loss,avg reward,learning rate
95800,1822,-1.2006900310516357,1.09861159324646,7664000,1.474019200031762e-06,-0.00016906891423786873,0.001
95900,1823,-1.6712148189544678,1.0986120700836182,7672000,1.2686360832958599e-06,0.000704363345460024,0.001
96000,1823,-0.422147274017334,1.09861159324646,7680000,9.705275942906155e-07,-0.001149983876166516,0.001
96100,1822,-0.762018084526062,1.098610758781433,7688000,1.569645405652409e-06,-0.0005957973664408201,0.001
96200,1822,-1.3478593826293945,1.0986108779907227,7696000,1.4596341770811705e-06,-0.0006937679674592801,0.001
96300,1823,-1.7398481369018555,1.0986090898513794,7704000,1.3229516753199277e-06,-0.0021968793187625126,0.001
96400,1823,-0.305489182472229,1.0986120700836182,7712000,1.6056676486186916e-06,0.0006097437998505484,0.001
96500,1823,-0.88685142993927,1.0986108779907227,7720000,1.362270495519624e-06,-0.00100003143320464,0.001
96600,1822,-0.3621094226837158,1.0986101627349854,7728000,1.329532210547768e-06,5.184355641176808e-05,0.001
96700,1823,-0.7098242044448853,1.0986095666885376,7736000,1.224588800141646e-06,-0.000227332059228047,0.001
96800,1823,-1.7198467254638672,1.0986119508743286,7744000,1.1348917041686946e-06,-0.0010867108768252364,0.001
96900,1823,-1.1684119701385498,1.0986074209213257,7752000,1.0892845239141025e-06,2.7062977915193186e-05,0.001
97000,1822,-0.20772051811218262,1.0986099243164062,7760000,1.4587863006454427e-06,0.0002790198108414188,0.001
97100,1823,-0.7500895261764526,1.0986117124557495,7768000,1.351711830466229e-06,0.0012827696938984446,0.001
97200,1823,-0.8032437562942505,1.0986095666885376,7776000,9.968631502488279e-07,-0.00018597177622723394,0.001
97300,1823,-0.6389532089233398,1.0986067056655884,7784000,1.0617354746500496e-06,0.0016361565609258832,0.001
97400,1822,-0.3054380416870117,1.0986089706420898,7792000,1.478691501688445e-06,-0.0004461997225007508,0.001
97500,1823,-1.9758329391479492,1.09861159324646,7800000,1.0681167168513639e-06,0.0007975342263932816,0.001
