nupdates,value_loss,policy_entropy,explained_variance,total_timesteps,avg reward,fps
47700,25.123960494995117,0.31442588567733765,-0.9775903224945068,3816000,6.744302463531494,1907
47800,6.092552185058594,0.502038836479187,0.8773561716079712,3824000,8.330584000051022,1907
47900,0.7715784907341003,0.6606794595718384,0.9128152206540108,3832000,4.1163762792944905,1907
48000,1.2842433452606201,0.7317577600479126,0.8784121349453926,3840000,-0.9257395872846246,1907
48100,0.6434126496315002,0.7539127469062805,0.9739735834300518,3848000,5.3721633985638615,1907
48200,29.5820255279541,0.340195894241333,0.893062099814415,3856000,-12.278172459453344,1907
48300,9.228323936462402,0.706904947757721,0.8992966189980507,3864000,-6.3360530905425545,1907
48400,15.152786254882812,0.6285932660102844,0.8416855335235596,3872000,10.011959627270699,1907
48500,3.748514175415039,0.7763054966926575,0.9790692087262869,3880000,-7.583597001433373,1907
48600,0.14261789619922638,0.8043573498725891,0.9941926435567439,3888000,0.022034628316760063,1908
48700,6.563432216644287,1.1083261966705322,0.9484446607530117,3896000,-2.7630178187042476,1908
48800,1.543936848640442,1.1265114545822144,0.9697680771350861,3904000,6.196564920246601,1908
48900,1.2929071187973022,0.538201630115509,0.7654101401567459,3912000,4.05019366145134,1908
49000,8.15205192565918,0.7586247324943542,0.8988346755504608,3920000,8.750037594139576,1908
49100,0.1129855364561081,1.0817506313323975,0.9911174215376377,3928000,4.0653984799981115,1908
49200,17.86330795288086,0.7934125065803528,0.7471872568130493,3936000,-3.9531384989619256,1908
49300,7.097190856933594,0.6944462060928345,0.7404427230358124,3944000,6.975213049352169,1908
49400,0.31571105122566223,0.6602765321731567,0.9108569398522377,3952000,0.16042420715093614,1908
49500,2.0886893272399902,0.8754531741142273,0.9619595110416412,3960000,-2.620656979084015,1908
49600,0.1256515234708786,1.1126701831817627,0.2168346643447876,3968000,1.7633302241563797,1908
49700,2.1313672065734863,0.5550900101661682,0.6708798706531525,3976000,-0.3358745720237494,1908
49800,234.59988403320312,0.6743990182876587,0.9212293177843094,3984000,51.4489747107029,1908
49900,0.07987046986818314,1.0651395320892334,0.9382584430277348,3992000,2.275632654130459,1909
50000,8.685283660888672,0.5665984749794006,0.3262307643890381,4000000,-1.253316444903612,1909
50100,25.918737411499023,0.35371124744415283,0.895590640604496,4008000,-16.582430042576743,1909
50200,2.1509227752685547,0.7552820444107056,0.9826112352311611,4016000,-5.9095020111650225,1909
50300,2.6794776916503906,0.6477833390235901,-0.6584328413009644,4024000,2.400502634048462,1909
50400,27.72737693786621,0.548044741153717,0.6998246908187866,4032000,-4.801748039573431,1909
50500,3.971674680709839,0.48020419478416443,0.8879019990563393,4040000,5.998122927546501,1908
50600,0.5699290037155151,1.1294375658035278,0.9603889770805836,4048000,-0.5915181577205658,1908
50700,0.8227599859237671,0.6519390940666199,0.5541883707046509,4056000,2.6483619824051856,1908
50800,4.710906028747559,0.530872642993927,0.9644688069820404,4064000,11.578188632428645,1909
50900,7.5211968421936035,0.22171759605407715,0.5885003805160522,4072000,-1.708130476810038,1909
51000,98.70065307617188,0.42172297835350037,0.8473353832960129,4080000,14.440788264572621,1909
51100,2.2762415409088135,0.2115693986415863,0.859022781252861,4088000,4.9256197065114975,1909
51200,4.045584678649902,0.467841774225235,0.9158423915505409,4096000,-4.293587240576744,1909
51300,34.721038818359375,0.316030889749527,0.9190720245242119,4104000,-13.85442358776927,1909
51400,2.425888776779175,0.7716823816299438,0.9077274277806282,4112000,-2.10349670574069,1909
51500,3.1068267822265625,0.420116126537323,0.16079503297805786,4120000,-0.8584844380617142,1909
51600,22.71320343017578,0.6463828086853027,0.6275289058685303,4128000,7.250844198465347,1909
51700,10.15207290649414,0.29683762788772583,0.7686794698238373,4136000,-4.651196374744177,1909
51800,0.2086799442768097,0.16557788848876953,0.8718478381633759,4144000,3.084277018904686,1909
51900,0.4119308590888977,0.7715833187103271,0.9416758455336094,4152000,3.571554858982563,1909
52000,1.3128416538238525,0.6017128229141235,0.8828557878732681,4160000,3.738469386845827,1909
52100,37.85529327392578,0.21802368760108948,0.7831726223230362,4168000,-11.25511905476451,1908
52200,0.6070272326469421,0.6487231254577637,-1.7798423767089844,4176000,1.1866056609898805,1908
52300,2.7122554779052734,0.4619849622249603,0.5719245076179504,4184000,3.480851736664772,1908
52400,3.413776397705078,0.3922823369503021,0.4286912679672241,4192000,3.3780732601881027,1908
