explained_variance,total_timesteps,value_loss,fps,nupdates,policy_entropy
0.9906267942860723,6408000,0.018319550901651382,2028,80100,1.3719053268432617
0.993939635809511,6416000,0.008164097554981709,2028,80200,1.5195366144180298
0.9784833081066608,6424000,0.01769040897488594,2028,80300,1.3946990966796875
0.9445458799600601,6432000,0.06177326291799545,2028,80400,1.5696039199829102
0.981916656717658,6440000,0.043293651193380356,2028,80500,1.3710882663726807
0.987815635278821,6448000,0.024065673351287842,2028,80600,1.4669246673583984
0.9637086130678654,6456000,0.03582344204187393,2029,80700,1.5082248449325562
0.9664172306656837,6464000,0.04197443276643753,2029,80800,1.4279619455337524
0.9827630165964365,6472000,0.026600036770105362,2029,80900,1.427259087562561
0.9814249146729708,6480000,0.034276824444532394,2029,81000,1.5017316341400146
0.9623606316745281,6488000,0.07125163078308105,2029,81100,1.42257821559906
0.9655834957957268,6496000,0.061853475868701935,2029,81200,1.5394923686981201
0.9740635324269533,6504000,0.04677370563149452,2029,81300,1.4257373809814453
0.9804633986204863,6512000,0.023724371567368507,2030,81400,1.571559190750122
0.9776094853878021,6520000,0.04375873878598213,2030,81500,1.4142558574676514
0.9924000827595592,6528000,0.010571589693427086,2030,81600,1.4737608432769775
0.9623536765575409,6536000,0.0471344068646431,2030,81700,1.5007874965667725
0.9847080390900373,6544000,0.030516017228364944,2030,81800,1.4563915729522705
0.9678140580654144,6552000,0.033671654760837555,2030,81900,1.4190155267715454
0.9922218080610037,6560000,0.017250899225473404,2030,82000,1.457570195198059
0.9647234380245209,6568000,0.03677980601787567,2030,82100,1.424838662147522
0.9854547884315252,6576000,0.027534976601600647,2030,82200,1.4479962587356567
0.970104331150651,6584000,0.040105707943439484,2031,82300,1.4231106042861938
0.9544493332505226,6592000,0.08338437229394913,2031,82400,1.4549705982208252
0.9860320873558521,6600000,0.016274498775601387,2031,82500,1.362842082977295
0.9875843338668346,6608000,0.015626249834895134,2031,82600,1.5027873516082764
0.9874496255069971,6616000,0.03154687583446503,2031,82700,1.4097241163253784
0.9796725362539291,6624000,0.03394101560115814,2031,82800,1.4193389415740967
0.9637372940778732,6632000,0.032960791140794754,2031,82900,1.4916883707046509
0.9633067362010479,6640000,0.11494646221399307,2031,83000,1.5167291164398193
0.9825417995452881,6648000,0.019381210207939148,2031,83100,1.3630344867706299
0.9764945041388273,6656000,0.029522353783249855,2032,83200,1.517480492591858
0.9845338379964232,6664000,0.03702504560351372,2032,83300,1.4732972383499146
0.9753989074379206,6672000,0.031810931861400604,2032,83400,1.4747025966644287
0.9695669636130333,6680000,0.048861466348171234,2032,83500,1.4655778408050537
0.9831391423940659,6688000,0.022535119205713272,2032,83600,1.541037917137146
0.948734600096941,6696000,0.04317702725529671,2032,83700,1.4492136240005493
0.9760024677962065,6704000,0.023687588050961494,2032,83800,1.4958579540252686
0.9372154995799065,6712000,0.03575841337442398,2032,83900,1.5074859857559204
0.9029761254787445,6720000,0.08615320920944214,2032,84000,1.5010970830917358
0.9324920177459717,6728000,0.0832616463303566,2033,84100,1.4485574960708618
0.9599690847098827,6736000,0.04649168998003006,2033,84200,1.3938888311386108
0.9569610394537449,6744000,0.05327301099896431,2033,84300,1.5163726806640625
0.977989912033081,6752000,0.0315249040722847,2033,84400,1.44772207736969
0.9387110508978367,6760000,0.06170899420976639,2033,84500,1.551243782043457
0.9818931836634874,6768000,0.036107469350099564,2033,84600,1.538788080215454
0.9814539439976215,6776000,0.02474215067923069,2034,84700,1.52079176902771
0.8812816739082336,6784000,0.12874674797058105,2034,84800,1.4041314125061035
0.9862075923010707,6792000,0.02953094244003296,2034,84900,1.312902808189392
0.9428977854549885,6800000,0.056464243680238724,2034,85000,1.5157746076583862
0.9896771153435111,6808000,0.021044235676527023,2034,85100,1.4373952150344849
0.985788619145751,6816000,0.0380125567317009,2034,85200,1.4923343658447266
0.9738845899701118,6824000,0.04329455643892288,2034,85300,1.495723843574524
0.99169179238379,6832000,0.01874254085123539,2034,85400,1.4371329545974731
