value_loss,explained_variance,total_timesteps,policy_entropy,nupdates,fps
9.906213563226629e-06,-2.1051158905029297,3576000,2.890367031097412,44700,1731
6.1829400692658965e-06,-0.5652823448181152,3584000,2.8903651237487793,44800,1731
5.686571057594847e-06,-0.9137943983078003,3592000,2.890366792678833,44900,1731
5.996912022965262e-06,-1.429802417755127,3600000,2.890366554260254,45000,1731
4.287948286219034e-06,-1.2063965797424316,3608000,2.890366554260254,45100,1731
6.502518772322219e-06,-0.2560563087463379,3616000,2.890367031097412,45200,1731
5.2173454605508596e-06,-0.43336236476898193,3624000,2.8903679847717285,45300,1731
4.803471711056773e-06,0.021604299545288086,3632000,2.8903679847717285,45400,1731
3.052669399039587e-06,-1.2672755718231201,3640000,2.890366792678833,45500,1731
6.453945388784632e-06,-1.3129703998565674,3648000,2.890367031097412,45600,1731
4.197033376840409e-06,-0.13999903202056885,3656000,2.890366792678833,45700,1731
4.417958734848071e-06,-0.9895840883255005,3664000,2.890367031097412,45800,1731
4.728928161057411e-06,-1.3429498672485352,3672000,2.890367031097412,45900,1731
6.558617315022275e-06,-1.4427237510681152,3680000,2.890367031097412,46000,1731
4.89384365209844e-06,-2.9546256065368652,3688000,2.8903679847717285,46100,1731
8.832686944515444e-06,-0.647810697555542,3696000,2.890366315841675,46200,1731
1.035465993481921e-05,-0.9610159397125244,3704000,2.890367031097412,46300,1731
9.99460735329194e-06,-0.5673034191131592,3712000,2.890366792678833,46400,1731
6.714605206070701e-06,-0.42772984504699707,3720000,2.890367031097412,46500,1731
4.189452283753781e-06,-2.538655996322632,3728000,2.890367031097412,46600,1731
2.743473260125029e-06,-1.1889431476593018,3736000,2.890350103378296,46700,1731
4.158781848673243e-06,-1.3275413513183594,3744000,2.8903510570526123,46800,1731
3.482693045953056e-06,0.20038306713104248,3752000,2.890352725982666,46900,1730
1.0299720088369213e-05,-1.0753703117370605,3760000,2.890355110168457,47000,1730
4.148118932789657e-06,-2.1065475940704346,3768000,2.890357732772827,47100,1730
2.7733856313716387e-06,-1.1400933265686035,3776000,2.8903579711914062,47200,1731
3.4184038213425083e-06,-0.4263918399810791,3784000,2.890359401702881,47300,1731
3.3743119729479076e-06,-2.4268064498901367,3792000,2.8903589248657227,47400,1731
3.939739144698251e-06,-1.0310063362121582,3800000,2.8903603553771973,47500,1731
3.7368868106568698e-06,-1.120936632156372,3808000,2.8903603553771973,47600,1731
6.465447768277954e-06,-0.6093188524246216,3816000,2.8903629779815674,47700,1731
5.107602646603482e-06,-1.2695817947387695,3824000,2.8903613090515137,47800,1731
7.425246622005943e-06,-1.5372052192687988,3832000,2.8903603553771973,47900,1731
5.663975571224e-06,-3.2575411796569824,3840000,2.89036226272583,48000,1730
5.0943463065777905e-06,-1.1350936889648438,3848000,2.8903636932373047,48100,1730
4.071946932526771e-06,-0.40484750270843506,3856000,2.890364646911621,48200,1730
4.391551101434743e-06,-0.6498225927352905,3864000,2.8903653621673584,48300,1730
4.319559138821205e-06,-3.133293628692627,3872000,2.890364646911621,48400,1730
4.3466698116390035e-06,-0.7548444271087646,3880000,2.890362501144409,48500,1731
4.67938298243098e-06,-0.17320024967193604,3888000,2.8903648853302,48600,1731
7.95848791312892e-06,-0.5148077011108398,3896000,2.8903636932373047,48700,1730
3.6420533433556557e-06,-0.6551601886749268,3904000,2.890364646911621,48800,1730
5.856823463545879e-06,-1.0444540977478027,3912000,2.890364646911621,48900,1731
6.456754817918409e-06,-1.2653179168701172,3920000,2.8903651237487793,49000,1731
5.0333374019828625e-06,-0.6369198560714722,3928000,2.8903656005859375,49100,1730
2.899624860219774e-06,-1.5567309856414795,3936000,2.8903656005859375,49200,1730
5.214854809310054e-06,-0.9142588376998901,3944000,2.890364408493042,49300,1730
6.09786229688325e-06,-1.8825633525848389,3952000,2.8903653621673584,49400,1730
5.30084525962593e-06,-0.575931191444397,3960000,2.890364408493042,49500,1730
4.8234505811706185e-06,-0.49229657649993896,3968000,2.890364646911621,49600,1730
5.06489004692412e-06,-0.5443853139877319,3976000,2.8903648853302,49700,1730
7.4922463682014495e-06,-0.9430378675460815,3984000,2.8903658390045166,49800,1731
6.4093242144735996e-06,-0.6828480958938599,3992000,2.8903651237487793,49900,1731
6.510693310701754e-06,-1.4935288429260254,4000000,2.890366315841675,50000,1731
4.137625182920601e-06,-0.28582143783569336,4008000,2.8903658390045166,50100,1730
4.059386810695287e-06,-0.8572152853012085,4016000,2.8903660774230957,50200,1730
6.237233264982933e-06,-0.25194478034973145,4024000,2.8903660774230957,50300,1730
5.459722160594538e-06,0.0553356409072876,4032000,2.8903660774230957,50400,1730
2.9661994176422013e-06,-1.408470869064331,4040000,2.8903656005859375,50500,1731
9.269171641790308e-06,-1.3018388748168945,4048000,2.8903658390045166,50600,1731
3.4797769785654964e-06,-0.7909959554672241,4056000,2.890366315841675,50700,1731
4.601838554663118e-06,-0.5567680597305298,4064000,2.890364408493042,50800,1731
4.636184712580871e-06,-0.7619789838790894,4072000,2.890364170074463,50900,1731
4.3476306927914266e-06,-0.5222996473312378,4080000,2.8903658390045166,51000,1731
7.325290880544344e-06,-0.7430708408355713,4088000,2.8903660774230957,51100,1731
2.4927187496359693e-06,-1.7552292346954346,4096000,2.890364646911621,51200,1732
5.463776233227691e-06,-1.111581563949585,4104000,2.8903660774230957,51300,1732
5.185850568523165e-06,-2.0668866634368896,4112000,2.8903656005859375,51400,1732
2.465269062668085e-06,-0.45948266983032227,4120000,2.8903660774230957,51500,1732
4.5666938603972085e-06,-0.6769263744354248,4128000,2.890366315841675,51600,1732
7.608402029291028e-06,-1.8976795673370361,4136000,2.890366792678833,51700,1732
4.722919584310148e-06,-0.63016676902771,4144000,2.890367031097412,51800,1732
3.1217587093124166e-06,-2.1356492042541504,4152000,2.8903656005859375,51900,1732
4.146438186580781e-06,-0.571006178855896,4160000,2.890366792678833,52000,1732
