nupdates,explained_variance,value_loss,fps,policy_entropy,total_timesteps,avg reward
56100,0.9838389810174704,7833.1650390625,1931,0.0,4488000,-3652.2160720825195
56200,-1.7493226528167725,9093.2080078125,1931,0.0,4496000,-1872.1794799804688
56300,0.7484500110149384,13725.630859375,1931,0.0,4504000,4087.722686767578
56400,0.9266349673271179,45492.3984375,1931,0.0,4512000,8038.141925048828
56500,0.941286601126194,5271.2041015625,1931,0.0,4520000,2732.433285522461
56600,0.13674086332321167,448450.15625,1931,0.0,4528000,4277.178262329102
56700,-1.4114866256713867,1398590.125,1931,0.0,4536000,-8556.340539550782
56800,0.21117395162582397,926075.6875,1931,0.0,4544000,-5562.470751953125
56900,0.9325548335909843,30146.58203125,1931,0.0,4552000,-6016.472412109375
57000,0.8444398641586304,43338.0703125,1931,0.0,4560000,-6946.373559570313
57100,0.8491809666156769,37903.22265625,1931,0.0,4568000,-6563.555267333984
57200,0.7160267531871796,1592.549560546875,1931,0.0,4576000,1304.1478713989259
57300,0.2950809597969055,487281.34375,1931,0.0,4584000,4004.6153198242187
57400,0.04850798845291138,671727.5625,1932,0.0,4592000,-4004.895373535156
57500,0.08060520887374878,79028.21875,1932,0.0,4600000,1542.5816040039062
57600,0.8264321982860565,7805.7685546875,1932,0.0,4608000,-3876.7773254394533
57700,0.3360101580619812,290563.46875,1932,0.0,4616000,9266.739947509766
57800,0.896970584988594,9156.7880859375,1932,0.0,4624000,-3505.7193603515625
57900,0.9090200513601303,20940.052734375,1932,0.0,4632000,-4720.309423828125
58000,0.858463853597641,11734.775390625,1933,0.0,4640000,-3522.359353637695
58100,0.92612374573946,8740.833984375,1932,0.0,4648000,-3055.3745727539062
58200,0.9339734315872192,18482.763671875,1932,0.0,4656000,-5254.837097167969
58300,-0.01995062828063965,50545.6171875,1932,0.0,4664000,1276.3147811889648
58400,0.6619434356689453,68957.4140625,1932,0.0,4672000,8334.107531738282
58500,-0.5399179458618164,862286.1875,1932,0.0,4680000,-8412.533245849609
58600,0.8380999267101288,9897.361328125,1931,0.0,4688000,3252.009912109375
58700,0.9616227634251118,4484.96240234375,1932,0.0,4696000,-2358.6601150512697
58800,0.8282730579376221,12517.9501953125,1932,0.0,4704000,4163.297082519532
58900,0.13539797067642212,2195419.0,1932,0.0,4712000,8130.42177734375
59000,0.3715696930885315,2351.0693359375,1932,0.0,4720000,-1228.0246078491211
59100,0.00469970703125,134452.328125,1932,0.0,4728000,-9622.397155761719
59200,0.9019503816962242,13598.6748046875,1931,0.0,4736000,4297.31630859375
59300,0.9310350865125656,300.8829345703125,1932,0.0,4744000,-616.2685134887695
59400,0.020605921745300293,2972518.25,1931,0.0,4752000,8803.562579345704
59500,0.7140190005302429,106844.4765625,1932,0.0,4760000,-7117.420867919922
59600,0.9469392746686935,48389.20703125,1931,0.0,4768000,6898.121844482422
59700,0.965047299861908,40964.3671875,1932,0.0,4776000,-6334.78581237793
59800,0.5243139266967773,20296.62109375,1932,0.0,4784000,-3852.3469360351564
59900,0.7304025888442993,765.2376708984375,1932,0.0,4792000,-527.988697052002
60000,0.8799762651324272,13981.6220703125,1932,0.0,4800000,-3696.538021850586
60100,-0.08985638618469238,1042371.375,1932,0.0,4808000,3570.7546264648436
60200,0.3266471028327942,1809990.375,1932,0.0,4816000,8863.539483642578
60300,-0.3591572046279907,485392.59375,1932,0.0,4824000,5849.170062255859
60400,0.15962958335876465,85407.9375,1931,0.0,4832000,2051.76005859375
60500,-7.194921493530273,510500.6875,1931,0.0,4840000,6425.656823730469
60600,-0.47986531257629395,363210.5625,1931,0.0,4848000,-2340.32360534668
60700,0.7632206231355667,18134.19921875,1931,0.0,4856000,-4587.73462524414
60800,0.10642272233963013,1385844.125,1931,0.0,4864000,6302.11865234375
60900,-0.3915064334869385,2824117.75,1931,0.0,4872000,-13963.780700683594
61000,0.9061125218868256,28872.06640625,1931,0.0,4880000,4806.783444213867
