nupdates,policy_entropy,total_timesteps,fps,explained_variance,value_loss
57900,2.8903567790985107,4632000,1724,-1.1812057495117188,2.841477453330299e-06
58000,2.8903565406799316,4640000,1724,-1.0389554500579834,4.944849024468567e-06
58100,2.8903586864471436,4648000,1724,-2.720954179763794,2.838344244082691e-06
58200,2.8903584480285645,4656000,1724,-0.8524893522262573,3.083952151428093e-06
58300,2.8903603553771973,4664000,1724,-0.5296844244003296,3.362156348885037e-06
58400,2.8903603553771973,4672000,1724,-1.013042688369751,4.789627382706385e-06
58500,2.8903629779815674,4680000,1723,-0.3760223388671875,3.7974641600158066e-06
58600,2.8903613090515137,4688000,1723,-0.16394412517547607,5.12896758664283e-06
58700,2.8903613090515137,4696000,1723,-0.35805022716522217,5.76958473175182e-06
58800,2.8903610706329346,4704000,1723,-1.0113887786865234,3.2685286441846984e-06
58900,2.8903603553771973,4712000,1723,-2.086002826690674,3.5971856959804427e-06
59000,2.8903613090515137,4720000,1724,-1.787062644958496,4.348922630015295e-06
59100,2.8903636932373047,4728000,1724,-0.13467228412628174,4.77260391562595e-06
59200,2.890362024307251,4736000,1724,-1.1611359119415283,5.2436766964092385e-06
59300,2.890361785888672,4744000,1724,-1.3681457042694092,2.98347117677622e-06
59400,2.890361785888672,4752000,1724,-1.14589262008667,4.082195573573699e-06
59500,2.8903610706329346,4760000,1724,-0.2593705654144287,5.285060979076661e-06
59600,2.8903613090515137,4768000,1724,-4.9142889976501465,3.382913973837276e-06
59700,2.890362501144409,4776000,1724,-1.4001286029815674,2.600740572233917e-06
59800,2.8903634548187256,4784000,1724,-0.6643095016479492,3.1346910418506013e-06
59900,2.8903632164001465,4792000,1724,-0.3291325569152832,3.890739662892884e-06
60000,2.8903629779815674,4800000,1724,-2.518357515335083,2.5690276288514724e-06
60100,2.890364408493042,4808000,1724,-0.9109152555465698,2.7302055514155654e-06
60200,2.8903636932373047,4816000,1724,-0.657618522644043,2.9256993911985774e-06
60300,2.890363931655884,4824000,1724,-1.0186238288879395,2.4590221983089577e-06
60400,2.890364170074463,4832000,1724,-1.43455171585083,3.4036663691949798e-06
60500,2.890364408493042,4840000,1724,-1.1079533100128174,2.8369106530590216e-06
60600,2.8903651237487793,4848000,1724,-0.7276943922042847,4.348369657236617e-06
60700,2.8903629779815674,4856000,1724,-0.1904001235961914,2.732264420046704e-06
60800,2.890364646911621,4864000,1724,-0.6569427251815796,3.1415468129125657e-06
60900,2.890364408493042,4872000,1724,-1.4182474613189697,2.797810793708777e-06
61000,2.890364408493042,4880000,1723,-1.5474674701690674,6.046714588592295e-06
61100,2.8903632164001465,4888000,1723,-1.0611026287078857,2.35865672948421e-06
61200,2.890364646911621,4896000,1723,-0.8317856788635254,3.4983713703695685e-06
61300,2.8903660774230957,4904000,1723,-0.6545426845550537,3.371350658198935e-06
61400,2.8903651237487793,4912000,1723,-0.612453818321228,3.491897132334998e-06
61500,2.8903648853302,4920000,1723,-0.7582060098648071,2.963099859698559e-06
61600,2.890364408493042,4928000,1723,-0.7980940341949463,4.392861683299998e-06
61700,2.890364408493042,4936000,1722,-0.7649997472763062,2.672371238077176e-06
61800,2.890364408493042,4944000,1723,0.024298131465911865,2.0436514205357525e-06
61900,2.8903660774230957,4952000,1723,-3.4659981727600098,3.875619313475909e-06
62000,2.890354871749878,4960000,1723,-0.30001091957092285,2.8741937967424747e-06
62100,2.89035701751709,4968000,1723,-0.8353469371795654,2.913614707722445e-06
62200,2.8903608322143555,4976000,1723,-0.29305267333984375,5.9733533817052376e-06
62300,2.8903608322143555,4984000,1723,-0.5092213153839111,3.854597252939129e-06
62400,2.8903610706329346,4992000,1723,-1.0231447219848633,5.491177034855355e-06
62500,2.8903613090515137,5000000,1723,-1.4586029052734375,3.846706931653898e-06
62600,2.8903634548187256,5008000,1723,-0.9735574722290039,2.3837515072955284e-06
62700,2.890364646911621,5016000,1723,-0.7881979942321777,3.1783260965312365e-06
62800,2.8903634548187256,5024000,1723,-0.578315019607544,4.784343218489084e-06
62900,2.8903651237487793,5032000,1723,-0.9930530786514282,3.5341720376891317e-06
