fps,policy_entropy,nupdates,explained_variance,value_loss,total_timesteps,learning rate,avg reward
1732,2.8903682231903076,71100,0.3594898581504822,8.160535003298719e-07,5688000,0.001,-0.00012403162568261906
1732,2.890368700027466,71200,-0.6486369371414185,1.1874859637828195e-06,5696000,0.001,-0.001144897194535588
1732,2.890369415283203,71300,-1.112849473953247,1.9406948013056535e-06,5704000,0.001,0.00015914976029307581
1732,2.890369415283203,71400,-1.101632833480835,1.3171318187232828e-06,5712000,0.001,0.0003427023213589564
1732,2.890369415283203,71500,-0.6687537431716919,1.4433878732234007e-06,5720000,0.001,-0.0005578547106779297
1732,2.890369176864624,71600,-0.715293288230896,1.2624229839275358e-06,5728000,0.001,0.0006474538101429062
1732,2.890369176864624,71700,-0.42215919494628906,1.1740924037439981e-06,5736000,0.001,0.00039805478841117294
1732,2.890369415283203,71800,-0.2618182897567749,8.522079042450059e-07,5744000,0.001,0.000962890702930963
1732,2.8903698921203613,71900,-0.5660456418991089,1.0076817034132546e-06,5752000,0.001,-0.0007665682993319934
1732,2.8903698921203613,72000,-0.5110557079315186,2.718960558922845e-06,5760000,0.001,0.000761204287300643
1732,2.890369415283203,72100,0.015445530414581299,2.3487821181333857e-06,5768000,0.001,6.488931285275612e-05
1732,2.8903698921203613,72200,-0.5837928056716919,1.150097205027123e-06,5776000,0.001,-0.0007741990040813107
1732,2.8903698921203613,72300,-1.2670795917510986,1.406163391948212e-06,5784000,0.001,0.00031101463755476286
1732,2.890369415283203,72400,-0.7277652025222778,2.011960759773501e-06,5792000,0.001,-0.000915346818510443
1732,2.8903698921203613,72500,-2.065382480621338,1.2216061122671817e-06,5800000,0.001,0.0013281596155138686
1732,2.8903698921203613,72600,-1.7759590148925781,1.2905372841487406e-06,5808000,0.001,-0.00014695008153466915
1732,2.890368938446045,72700,-1.1881170272827148,1.6036644865380367e-06,5816000,0.001,-0.0006571281748620095
1732,2.890369415283203,72800,-1.105633020401001,9.681291430752026e-07,5824000,0.001,-0.0006577118808763771
1732,2.8903696537017822,72900,-2.46128249168396,1.6167310832315707e-06,5832000,0.001,0.000521117560674611
1732,2.8903698921203613,73000,-0.6573814153671265,1.0625897175486898e-06,5840000,0.001,0.0014969710195600783
1732,2.8903703689575195,73100,-3.712477207183838,2.8952615593880182e-06,5848000,0.001,0.0006446616658308812
1732,2.890369415283203,73200,-1.0195555686950684,9.424226163901039e-07,5856000,0.001,0.0002379304596388465
1732,2.890369415283203,73300,-2.172045946121216,1.3393907920544734e-06,5864000,0.001,0.0005670546863257187
1732,2.890369415283203,73400,-1.126127004623413,1.7367379996358068e-06,5872000,0.001,-4.079267200722825e-05
1733,2.890369415283203,73500,-0.7061958312988281,1.1257855021540308e-06,5880000,0.001,0.00017817898369685282
1733,2.890368938446045,73600,-0.46122586727142334,1.8390561535852612e-06,5888000,0.001,-0.0008248495777252174
1733,2.890369415283203,73700,-4.309349060058594,1.110896278078144e-06,5896000,0.001,-0.00039370073936879636
1733,2.890368938446045,73800,-0.9404062032699585,1.874560098258371e-06,5904000,0.001,0.0006366806306687067
1732,2.890368938446045,73900,0.0007162690162658691,9.558929150443873e-07,5912000,0.001,3.914431348164271e-05
1732,2.890369415283203,74000,-0.9488348960876465,1.5949495946188108e-06,5920000,0.001,0.0005116221751450212
