total_timesteps,nupdates,fps,policy_entropy,value_loss,avgReward,explained_variance
2064000,25800,908,1.3415613174438477,0.013070774264633656,0.38644136260263623,0.9006113335490227
2072000,25900,908,1.3529698848724365,0.009911507368087769,0.5988719330169261,0.9197128117084503
2080000,26000,908,1.3365225791931152,0.0034118336625397205,0.3811803893186152,0.9461393728852272
2088000,26100,908,1.336403489112854,0.008441407233476639,0.3644898257451132,0.9110723361372948
2096000,26200,908,1.3300676345825195,0.011893424205482006,0.577840018691495,0.9327866658568382
2104000,26300,908,1.318863034248352,0.019472766667604446,0.6699521800503134,0.7708845883607864
2112000,26400,908,1.3248080015182495,0.004743601195514202,0.2699563192552887,0.9472407959401608
2120000,26500,909,1.3327573537826538,0.016301995143294334,0.767256136611104,0.9136577621102333
2128000,26600,909,1.3385143280029297,0.021017637103796005,0.5955418788827955,0.7607266902923584
2136000,26700,909,1.3270604610443115,0.012140678241848946,0.5000418172450736,0.9124277979135513
2144000,26800,909,1.311604380607605,0.008410075679421425,0.5637162863276899,0.9332840070128441
2152000,26900,909,1.3288249969482422,0.009835821576416492,0.3439942396245897,0.8760685846209526
2160000,27000,909,1.3358376026153564,0.0026439097709953785,0.20490404946467605,0.9045502692461014
2168000,27100,909,1.2949867248535156,0.006247576326131821,0.3422557237208821,0.9143670201301575
2176000,27200,909,1.3240420818328857,0.012774676084518433,0.32917534628068096,0.7988096177577972
2184000,27300,909,1.3053817749023438,0.015842344611883163,0.4580412814975716,0.9089210405945778
2192000,27400,909,1.3156445026397705,0.005607403814792633,0.4744579083751887,0.9561763480305672
2200000,27500,909,1.3222124576568604,0.0056585026904940605,0.3291102765942924,0.9511437080800533
2208000,27600,909,1.3111422061920166,0.030242299661040306,0.518121437355876,0.6718107759952545
2216000,27700,909,1.3033065795898438,0.008476927876472473,0.380711665796116,0.9402125887572765
2224000,27800,909,1.325295090675354,0.005804648622870445,0.5004182720556856,0.916435144841671
2232000,27900,910,1.28310227394104,0.011425504460930824,0.5726726646767929,0.8734596371650696
2240000,28000,910,1.2957162857055664,0.027195855975151062,0.5106654583476484,0.7483373582363129
2248000,28100,910,1.313368320465088,0.009935906156897545,0.7158068474382162,0.9157229289412498
2256000,28200,910,1.2876403331756592,0.021971020847558975,0.6848324504680932,0.7781908363103867
2264000,28300,910,1.3085801601409912,0.009200919419527054,0.7069910248741508,0.9174695089459419
2272000,28400,910,1.3041799068450928,0.004923897795379162,0.4518444973742589,0.9454105906188488
2280000,28500,910,1.2864888906478882,0.003323704469949007,0.6115822376683354,0.9626191481947899
2288000,28600,910,1.3264682292938232,0.030544156208634377,0.9629947759211064,0.7902022898197174
2296000,28700,910,1.3307781219482422,0.014749035239219666,0.28790504815697204,0.8087580353021622
2304000,28800,911,1.3006210327148438,0.009173357859253883,0.8763716090470552,0.926879309117794
2312000,28900,911,1.3226604461669922,0.0080158282071352,0.6470377570018172,0.9233358651399612
2320000,29000,911,1.3329588174819946,0.00669654319062829,0.32535688396310436,0.9311814308166504
2328000,29100,911,1.3133049011230469,0.007418617606163025,0.8422802142798901,0.9525063745677471
2336000,29200,911,1.3160984516143799,0.0042575509287416935,0.7976396912708879,0.9519816562533379
2344000,29300,911,1.3127833604812622,0.00944148562848568,0.5697810421930626,0.924988754093647
2352000,29400,911,1.3186237812042236,0.0066428580321371555,0.4190708536654711,0.9503350779414177
2360000,29500,911,1.3423014879226685,0.00795475672930479,0.5896001345245168,0.9449737817049026
2368000,29600,911,1.325987696647644,0.004708601161837578,0.27820830269920405,0.8436039090156555
2376000,29700,912,1.3205448389053345,0.005013418383896351,0.5305547980125993,0.9503244534134865
2384000,29800,912,1.3418776988983154,0.007921183481812477,0.3141845568548888,0.8949064537882805
2392000,29900,912,1.3053439855575562,0.008602146990597248,0.4200251645408571,0.8763357624411583
2400000,30000,912,1.3483097553253174,0.02136591635644436,0.26031384801390234,0.6534720957279205
2408000,30100,912,1.324445366859436,0.009539155289530754,0.28969921737443655,0.8231842964887619
2416000,30200,912,1.3264710903167725,0.010239483788609505,0.45656143594533205,0.8816835582256317
2424000,30300,912,1.278765082359314,0.01863260194659233,0.6623899908270687,0.8623504638671875
2432000,30400,912,1.2921990156173706,0.009042630903422832,0.5916075676679611,0.919260174036026
2440000,30500,912,1.3127660751342773,0.008998002856969833,0.6789153831079602,0.9097041934728622
2448000,30600,912,1.262559413909912,0.02114781178534031,0.851235993951559,0.8378024846315384
2456000,30700,912,1.3174922466278076,0.014096182771027088,0.46612512117717414,0.8662658333778381
2464000,30800,913,1.3201431035995483,0.008450418710708618,0.12916765183908865,0.766219899058342
2472000,30900,913,1.332661747932434,0.02384854666888714,0.9361788548529149,0.8429028242826462
2480000,31000,913,1.2959014177322388,0.013012958690524101,0.8127056511119009,0.8905147463083267
2488000,31100,913,1.302961826324463,0.013059723190963268,0.5252854006015696,0.8741172254085541
2496000,31200,913,1.3103806972503662,0.012041129171848297,0.43542529391124846,0.8864313289523125
2504000,31300,913,1.2744098901748657,0.0029878481291234493,0.29505455275066195,0.9492870904505253
2512000,31400,913,1.3007386922836304,0.042462654411792755,0.6518211944028736,0.7235504984855652
2520000,31500,913,1.3252931833267212,0.0075380997732281685,0.8393112667836249,0.9360790699720383
2528000,31600,913,1.3071991205215454,0.03932793810963631,0.8880767713300883,0.7496710419654846
2536000,31700,913,1.2735837697982788,0.013849562034010887,0.1766608429607004,0.7030996382236481
2544000,31800,914,1.2954219579696655,0.009092298336327076,0.5891455214470624,0.8913018479943275
2552000,31900,914,1.3144826889038086,0.002414419548586011,0.2951103405095637,0.9757658448070288
2560000,32000,914,1.2823413610458374,0.013953608460724354,0.5268529184162617,0.833261102437973
2568000,32100,914,1.2708877325057983,0.04148450866341591,1.0116453964263201,0.7159659266471863
2576000,32200,914,1.2634572982788086,0.005432272795587778,0.3929497335164342,0.8996738493442535
2584000,32300,914,1.2993357181549072,0.015178302302956581,0.2913028535898775,0.8701557219028473
2592000,32400,914,1.256899118423462,0.004913588520139456,0.541831086599268,0.9563137218356133
2600000,32500,914,1.2878429889678955,0.004853388760238886,0.18690101485699415,0.9352663308382034
2608000,32600,914,1.277260184288025,0.012860390357673168,0.4586096801329404,0.8608272224664688
2616000,32700,914,1.2501134872436523,0.05328741669654846,0.5634634929476305,0.5578615665435791
2624000,32800,915,1.3061678409576416,0.020231738686561584,0.5896622950676829,0.7568100094795227
2632000,32900,915,1.3080068826675415,0.008233906701207161,0.39437072130967865,0.9215288609266281
2640000,33000,915,1.2644447088241577,0.012203751131892204,0.924819752573967,0.7956040352582932
2648000,33100,915,1.2609957456588745,0.00822537299245596,0.44947324190288784,0.7972986996173859
2656000,33200,915,1.2114320993423462,0.007508482784032822,0.7509477784857154,0.9264049157500267
2664000,33300,915,1.2795817852020264,0.014394136145710945,0.6774114333093166,0.8338185101747513
2672000,33400,915,1.273799180984497,0.013759401626884937,0.44605059755267573,0.8786978200078011
2680000,33500,915,1.279333233833313,0.01862892135977745,0.5704171910881997,0.8063682466745377
2688000,33600,916,1.2949563264846802,0.008215990848839283,0.6796307200565934,0.9269479960203171
2696000,33700,916,1.2334744930267334,0.020748455077409744,0.6904305052012205,0.8130729496479034
2704000,33800,916,1.2918027639389038,0.008796202018857002,0.3641252858564258,0.8147144913673401
2712000,33900,916,1.2094690799713135,0.011010619811713696,0.7227862138854106,0.9313071370124817
2720000,34000,916,1.2576677799224854,0.007188061717897654,0.5278013273142278,0.9120703339576721
2728000,34100,916,1.2718701362609863,0.034885335713624954,0.3773940116399899,0.602636069059372
2736000,34200,916,1.207687497138977,0.016291135922074318,0.4064838175108889,0.6897052228450775
2744000,34300,916,1.2253855466842651,0.011257761158049107,0.5056538849137724,0.7975274622440338
2752000,34400,917,1.2974575757980347,0.023675981909036636,0.9724215120077133,0.731418639421463
2760000,34500,917,1.2184979915618896,0.031259238719940186,0.8210909577086568,0.7330527603626251
2768000,34600,917,1.1725289821624756,0.015996340662240982,0.9599866207689047,0.7637882977724075
2776000,34700,917,1.2721021175384521,0.007005987223237753,0.6030394434463233,0.9132986515760422
2784000,34800,917,1.2417854070663452,0.018322665244340897,0.6184993427246809,0.7445088326931
2792000,34900,917,1.242679238319397,0.006455791648477316,0.21129866257542745,0.9106102958321571
2800000,35000,917,1.2357420921325684,0.00997281726449728,0.5861399637535214,0.91068185120821
2808000,35100,917,1.2160165309906006,0.030516963452100754,0.7163886338472366,0.5822501480579376
2816000,35200,918,1.2470223903656006,0.042322635650634766,0.7616789761930705,0.71071657538414
2824000,35300,918,1.2776635885238647,0.00868090707808733,0.6177027380559593,0.8960226401686668
2832000,35400,918,1.1586395502090454,0.005438362713903189,0.6376421631779522,0.9406101368367672
2840000,35500,918,1.237821340560913,0.010193378664553165,0.5986483128741383,0.9076822176575661
2848000,35600,918,1.2427603006362915,0.048383548855781555,0.9499377517029644,0.5529418885707855
2856000,35700,918,1.268216848373413,0.013639433309435844,0.5430114574730396,0.8609753251075745
2864000,35800,918,1.240531086921692,0.023968420922756195,0.7680060628568753,0.7743711024522781
2872000,35900,918,1.2780629396438599,0.030200090259313583,0.945057587325573,0.7718525379896164
2880000,36000,919,1.1709462404251099,0.016066525131464005,0.616288078017351,0.8177700489759445
2888000,36100,919,1.2295488119125366,0.015927564352750778,0.6531882872339339,0.8378602713346481
2896000,36200,919,1.2085530757904053,0.014993918128311634,0.761919904500246,0.8389348089694977
2904000,36300,919,1.2989343404769897,0.014137583784759045,0.8193257595412433,0.8924738988280296
2912000,36400,919,1.2022651433944702,0.04171904921531677,0.8032528458163142,0.40043848752975464
2920000,36500,919,1.2046061754226685,0.013157728128135204,1.1036475015804172,0.8806135132908821
2928000,36600,919,1.217909812927246,0.02149016037583351,0.7494413977488875,0.7592396140098572
2936000,36700,919,1.2196630239486694,0.01927494816482067,0.6616117439232767,0.846213161945343
2944000,36800,920,1.1908888816833496,0.011623531579971313,0.7354439010843634,0.873083308339119
2952000,36900,920,1.1909935474395752,0.006352750118821859,0.6271075909491628,0.9127934351563454
