fps,policy_entropy,explained_variance,total_timesteps,nupdates,value_loss,avg reward
1977,1.400779366493225,0.9690534025430679,7104000,88800,0.035635046660900116,2.916264644265175
1977,1.5446590185165405,0.9559120945632458,7112000,88900,0.036608509719371796,2.8206218580715356
1977,1.4524357318878174,0.9841067474335432,7120000,89000,0.017950018867850304,2.6119736577384174
1978,1.2680578231811523,0.9710154291242361,7128000,89100,0.026924535632133484,3.624987061321735
1978,1.4585959911346436,0.9634967967867851,7136000,89200,0.0784664899110794,3.621433494798839
1978,1.4820753335952759,0.9824154730886221,7144000,89300,0.027329420670866966,2.6734640911221503
1978,1.3747566938400269,0.9868449149653316,7152000,89400,0.030231887474656105,3.2493169855326416
1978,1.4648802280426025,0.9799182806164026,7160000,89500,0.04888619855046272,2.8653482218272983
1978,1.4544726610183716,0.9739330671727657,7168000,89600,0.03051546774804592,3.0452193774282934
1978,1.4259309768676758,0.9862944297492504,7176000,89700,0.035664550960063934,4.1494461372029035
1978,1.4308619499206543,0.9820801038295031,7184000,89800,0.03302910178899765,2.815158351510763
1978,1.4088941812515259,0.974625751376152,7192000,89900,0.04632877558469772,3.9911803491413593
1978,1.4141441583633423,0.9869109131395817,7200000,90000,0.023089563474059105,2.718035965785384
1978,1.4615545272827148,0.787984237074852,7208000,90100,0.3952624797821045,3.1707780763506888
1978,1.4348437786102295,0.9735278841108084,7216000,90200,0.07247279584407806,3.731652984302491
1979,1.5455209016799927,0.9199404418468475,7224000,90300,0.06887265294790268,2.8507027022540568
1979,1.3944553136825562,0.9326083362102509,7232000,90400,0.050286006182432175,3.093711930513382
1979,1.4315048456192017,0.9416102431714535,7240000,90500,0.07318679988384247,3.3336844488978388
1979,1.3888133764266968,0.9699512310326099,7248000,90600,0.06182350963354111,4.142175026983023
1979,1.4210231304168701,0.9360532984137535,7256000,90700,0.11196564137935638,3.4111468829214573
1979,1.378138542175293,0.9872743925079703,7264000,90800,0.02093007043004036,3.0626202691346407
1979,1.497817039489746,0.8819717615842819,7272000,90900,0.19668664038181305,3.140575136523694
1979,1.4152889251708984,0.932183064520359,7280000,91000,0.08397942781448364,3.701165487617254
1980,1.4727182388305664,0.9204277247190475,7288000,91100,0.06556965410709381,3.0072416380047797
1980,1.4565166234970093,0.9546976834535599,7296000,91200,0.06964562088251114,3.315395408309996
1980,1.5006353855133057,0.9523804485797882,7304000,91300,0.04111733287572861,2.883928494155407
1980,1.547080397605896,0.9642138406634331,7312000,91400,0.03781294822692871,3.287881100177765
1980,1.4932383298873901,0.9681558720767498,7320000,91500,0.023021379485726357,2.2280578263103963
1980,1.4554802179336548,0.950096033513546,7328000,91600,0.0785742700099945,3.268963219993748
1980,1.4243557453155518,0.9686287939548492,7336000,91700,0.05138735845685005,2.6980860136449336
1980,1.4651215076446533,0.9559245780110359,7344000,91800,0.07097407430410385,3.352545146923512
1981,1.4813698530197144,0.950456578284502,7352000,91900,0.051437389105558395,2.4567759672179816
1981,1.4909203052520752,0.9667655229568481,7360000,92000,0.03568334877490997,3.7863148644566538
1981,1.4727405309677124,0.9467644803225994,7368000,92100,0.05841556936502457,3.086497759819031
1981,1.525848388671875,0.98433674313128,7376000,92200,0.03031878173351288,2.735862461384386
1981,1.5823633670806885,0.9699797593057156,7384000,92300,0.04411793127655983,2.5487836262211205
1981,1.448725938796997,0.9510630704462528,7392000,92400,0.053441714495420456,2.577451218292117
1981,1.4798399209976196,0.7225559055805206,7400000,92500,0.5243082642555237,2.892817945033312
1981,1.3894166946411133,0.9743245840072632,7408000,92600,0.038660719990730286,2.5116287242621183
1981,1.4818086624145508,0.966937355697155,7416000,92700,0.03753795847296715,2.818370996043086
1981,1.5728404521942139,0.9759044013917446,7424000,92800,0.03575808182358742,2.6148968608118595
1981,1.4660168886184692,0.9152832701802254,7432000,92900,0.03459618240594864,3.5126596435904505
1982,1.5172183513641357,0.8338099718093872,7440000,93000,0.1844315081834793,2.3806283991783856
1981,1.502101182937622,0.9475444667041302,7448000,93100,0.06335385143756866,2.4477901599369942
1982,1.4605647325515747,0.8829110488295555,7456000,93200,0.12909117341041565,2.658967024786398
1982,1.5006201267242432,0.9799838084727526,7464000,93300,0.036385927349328995,3.0798254370689393
1982,1.3898284435272217,0.9794611856341362,7472000,93400,0.021552152931690216,2.309498418867588
1982,1.4361685514450073,0.9740653000771999,7480000,93500,0.036335188895463943,3.3593629943206906
1982,1.5129549503326416,0.9710713773965836,7488000,93600,0.04914084076881409,2.1071296178735794
1982,1.3526257276535034,0.9452040791511536,7496000,93700,0.06356982886791229,3.8829409278929234
1982,1.4761064052581787,0.9127816781401634,7504000,93800,0.17002132534980774,2.703904554061592
1982,1.3946154117584229,0.9853632915765047,7512000,93900,0.01760701835155487,3.449019491672516
1982,1.4953969717025757,0.9920550072565675,7520000,94000,0.012308845296502113,2.074250803887844
1982,1.4533631801605225,0.9819419644773006,7528000,94100,0.03823483735322952,2.863287028670311
1982,1.5138041973114014,0.9816306810826063,7536000,94200,0.044729989022016525,3.302009549643844
1982,1.409590721130371,0.9868709100410342,7544000,94300,0.015364359132945538,3.142729888856411
1983,1.4639489650726318,0.9756954126060009,7552000,94400,0.031098175793886185,3.2848033659160136
1983,1.4922065734863281,0.8705275058746338,7560000,94500,0.11386317014694214,2.315381630556658
1983,1.4746053218841553,0.9494049586355686,7568000,94600,0.09563740342855453,3.2085056277457626
1983,1.3473316431045532,0.9513434320688248,7576000,94700,0.043589212000370026,3.1061915874481203
