fps,nupdates,avg reward,total_timesteps,value_loss,explained_variance,policy_entropy
1905,25700,1.4072342455387115,2056000,0.024673663079738617,0.908415824174881,1.7460415363311768
1905,25800,1.4070069452747702,2064000,0.01943385973572731,0.9679574705660343,1.6968425512313843
1906,25900,1.1988964934367687,2072000,0.010662766173481941,0.9635381028056145,1.7403196096420288
1906,26000,1.341577337589115,2080000,0.02070474997162819,0.9743823111057281,1.7012546062469482
1906,26100,1.198450506629888,2088000,0.02524314820766449,0.9565027505159378,1.6926405429840088
1906,26200,1.3698370532831177,2096000,0.0028140165377408266,0.9921041689813137,1.7133623361587524
1905,26300,0.9932267852593213,2104000,0.006051266565918922,0.9822143334895372,1.7510640621185303
1905,26400,1.3775119172409176,2112000,0.01809922233223915,0.9626450091600418,1.7516454458236694
1906,26500,1.2565460712648928,2120000,0.013337594456970692,0.965739794075489,1.7229585647583008
1906,26600,1.628780309483409,2128000,0.0065303221344947815,0.9907866986468434,1.6934280395507812
1906,26700,1.3523962937295437,2136000,0.005675244145095348,0.9893545731902122,1.737471580505371
1906,26800,1.8687292674556375,2144000,0.029915284365415573,0.9453952610492706,1.6827499866485596
1906,26900,1.212768805772066,2152000,0.005921678617596626,0.9777950569987297,1.672189712524414
1905,27000,1.512635745666921,2160000,0.010808049701154232,0.9655017890036106,1.705801010131836
1905,27100,1.512965052574873,2168000,0.013828473165631294,0.9830324593931437,1.7292945384979248
1905,27200,0.9628926938865334,2176000,0.05233052372932434,0.8803212121129036,1.7603809833526611
1905,27300,1.542553281225264,2184000,0.011956622824072838,0.9746442921459675,1.689056158065796
1905,27400,1.3931809317320585,2192000,0.008386412635445595,0.9822945725172758,1.7066898345947266
1905,27500,1.2490230195980985,2200000,0.006471647415310144,0.9866753779351711,1.7371294498443604
1906,27600,1.863038845360279,2208000,0.023721596226096153,0.9509163610637188,1.7492834329605103
1906,27700,0.9523271258920432,2216000,0.025291714817285538,0.9529664181172848,1.7280181646347046
1906,27800,1.2880558147095145,2224000,0.04439486190676689,0.9000811502337456,1.7133811712265015
1906,27900,1.4291419107466936,2232000,0.015829691663384438,0.947971023619175,1.724295973777771
1905,28000,1.1714294472243636,2240000,0.013624140992760658,0.9559631757438183,1.7218749523162842
1906,28100,0.6996312861680053,2248000,0.006532586179673672,0.9635847583413124,1.7639049291610718
1905,28200,1.3323186923982575,2256000,0.047256726771593094,0.9445214085280895,1.7727638483047485
1906,28300,1.3279443356208502,2264000,0.01388056855648756,0.9544778428971767,1.7428804636001587
1906,28400,1.8990558680146932,2272000,0.034626904875040054,0.9607609659433365,1.689011573791504
1907,28500,1.451838056370616,2280000,0.005295955576002598,0.9835183806717396,1.7104475498199463
1907,28600,1.3682360557839275,2288000,0.04178117588162422,0.9161389768123627,1.7571899890899658
1907,28700,1.7583637919276953,2296000,0.06539710611104965,0.9101129397749901,1.762216567993164
1907,28800,1.7263416020199656,2304000,0.008698446676135063,0.9829639624804258,1.6886179447174072
1908,28900,0.8128662267234177,2312000,0.0048184446059167385,0.9830430187284946,1.7707710266113281
1907,29000,1.1608262047171594,2320000,0.007760672364383936,0.9822152759879827,1.7360635995864868
1907,29100,1.1647731592878698,2328000,0.011234063655138016,0.9586435444653034,1.6927589178085327
1907,29200,1.3743955828249454,2336000,0.0396246463060379,0.8821138516068459,1.7587802410125732
1907,29300,1.5529739815741777,2344000,0.01592007279396057,0.9533993639051914,1.7476354837417603
1907,29400,1.7014441300183534,2352000,0.012176183983683586,0.9808664750307798,1.739124059677124
1907,29500,0.9975244271568954,2360000,0.02426329255104065,0.942436583340168,1.7691974639892578
1907,29600,1.196926475316286,2368000,0.009493174031376839,0.9528065249323845,1.7737090587615967
1907,29700,0.9399523332715034,2376000,0.006399091333150864,0.9683941639959812,1.769432783126831
1908,29800,1.3679341937880962,2384000,0.0315157026052475,0.8473890125751495,1.7648454904556274
1908,29900,1.4615079581737518,2392000,0.04409459978342056,0.8828902915120125,1.7570562362670898
1908,30000,1.4730981733649968,2400000,0.007370417471975088,0.9565869122743607,1.7474454641342163
1908,30100,1.5093117859214544,2408000,0.027435431256890297,0.9410492852330208,1.74529230594635
1908,30200,1.257511475942738,2416000,0.017178116366267204,0.9455789774656296,1.7650645971298218
1908,30300,1.3120209995191545,2424000,0.0690554678440094,0.8344444632530212,1.7417354583740234
1908,30400,1.2969614868285135,2432000,0.027949104085564613,0.9586512856185436,1.7457282543182373
1908,30500,0.9451116751180961,2440000,0.06705351173877716,0.6207683980464935,1.774498701095581
1907,30600,0.9362120732665062,2448000,0.019014662131667137,0.9371124729514122,1.7720234394073486
1908,30700,1.3788011363707482,2456000,0.028832625597715378,0.9305902719497681,1.769874930381775
1907,30800,1.5675503335893155,2464000,0.009586060419678688,0.9580725468695164,1.7585201263427734
1907,30900,1.3869362962897867,2472000,0.007303196936845779,0.9870312456041574,1.7492990493774414
1907,31000,1.5957948360126466,2480000,0.030132582411170006,0.972306702286005,1.7283731698989868
1907,31100,1.9923586257733406,2488000,0.023965727537870407,0.9760979451239109,1.7098197937011719
1907,31200,1.1034751179628075,2496000,0.044360723346471786,0.8979609608650208,1.755706787109375
1907,31300,1.5883581161499023,2504000,0.017583785578608513,0.9474060237407684,1.7302558422088623
1907,31400,2.316188158094883,2512000,0.01914912834763527,0.9651684649288654,1.7332950830459595
1907,31500,1.2607826915336773,2520000,0.03116825595498085,0.9399171881377697,1.7579094171524048
1907,31600,1.4841263269772753,2528000,0.03296442702412605,0.9126636683940887,1.7375447750091553
1907,31700,1.3536213735118507,2536000,0.007111118175089359,0.979312002658844,1.7476131916046143
1907,31800,1.2757484085857869,2544000,0.020993296056985855,0.9496279209852219,1.7132947444915771
1907,31900,1.3800156919285655,2552000,0.0219613965600729,0.9669562764465809,1.732682466506958
1907,32000,1.2377240999485366,2560000,0.006140309385955334,0.989732033573091,1.7372993230819702
1907,32100,1.6837343494873493,2568000,0.050242673605680466,0.9452609643340111,1.6945583820343018
1907,32200,1.230713634705171,2576000,0.04003141075372696,0.8690640032291412,1.7553468942642212
1907,32300,1.0305383317172527,2584000,0.009220901876688004,0.9370014145970345,1.7552696466445923
1907,32400,1.0131669065915048,2592000,0.013335354626178741,0.9602132253348827,1.7581241130828857
1906,32500,0.7901401587296277,2600000,0.014850182458758354,0.9380856975913048,1.7695926427841187
1906,32600,1.6928969341330231,2608000,0.011715877801179886,0.9839798212051392,1.6976263523101807
1906,32700,1.5453590420540422,2616000,0.026538381353020668,0.9305520281195641,1.7303003072738647
1907,32800,1.3792959432117642,2624000,0.00473437923938036,0.9877639748156071,1.6963846683502197
1907,32900,1.4726150697504636,2632000,0.04522059112787247,0.945583138614893,1.7312078475952148
1907,33000,1.2874966860283166,2640000,0.09175018966197968,0.820376455783844,1.7264875173568726
1907,33100,1.6292010743170977,2648000,0.07813585549592972,0.831691324710846,1.7368532419204712
1907,33200,1.4026844261214138,2656000,0.025670373812317848,0.9477973505854607,1.6889514923095703
1907,33300,2.0115775257349013,2664000,0.02999749220907688,0.942855779081583,1.7148840427398682
1907,33400,1.2072313504293561,2672000,0.020594893023371696,0.9299923479557037,1.7462631464004517
1907,33500,1.3271900868974627,2680000,0.017256706953048706,0.9809654578566551,1.7002770900726318
1907,33600,1.3819991260766984,2688000,0.03872661665081978,0.9409894980490208,1.6949269771575928
1907,33700,1.4259503219276666,2696000,0.040004655718803406,0.9418064802885056,1.7212045192718506
1907,33800,1.5676006895955652,2704000,0.009308765642344952,0.9789508767426014,1.7337942123413086
1907,33900,2.148739513754845,2712000,0.04493134468793869,0.9578720256686211,1.6897780895233154
1907,34000,1.6800094620790333,2720000,0.054506171494722366,0.9093556851148605,1.7113943099975586
1907,34100,1.172007781267166,2728000,0.025354888290166855,0.9540058001875877,1.7211573123931885
1907,34200,1.4296154404059052,2736000,0.01544172316789627,0.9710718672722578,1.7594540119171143
1907,34300,1.4181346463461524,2744000,0.04349125549197197,0.9508152864873409,1.7352104187011719
1907,34400,1.641484348103404,2752000,0.05199212580919266,0.9181508421897888,1.6995151042938232
1907,34500,1.8802047342061996,2760000,0.0586923286318779,0.9321714341640472,1.7023855447769165
1907,34600,1.5269066802226008,2768000,0.03642197698354721,0.9506495222449303,1.7311010360717773
1907,34700,1.4600017405115069,2776000,0.056089770048856735,0.8794619143009186,1.7236801385879517
1907,34800,1.5685355094261468,2784000,0.03012973442673683,0.9314486235380173,1.7282512187957764
1907,34900,1.6181765809655189,2792000,0.01643502339720726,0.9778987616300583,1.7421455383300781
1907,35000,2.041611009091139,2800000,0.056360721588134766,0.9084042608737946,1.7167314291000366
1908,35100,2.1974050287157296,2808000,0.02284686267375946,0.9678323045372963,1.6901075839996338
1908,35200,1.6841009840369225,2816000,0.012354080565273762,0.9747071173042059,1.690016746520996
1908,35300,2.5720413595438005,2824000,0.036271028220653534,0.952000942081213,1.6710981130599976
1908,35400,2.432059593498707,2832000,0.02966354787349701,0.9578477628529072,1.6194814443588257
1909,35500,1.513260530307889,2840000,0.038466960191726685,0.8361850827932358,1.7026865482330322
1909,35600,1.5046045683324336,2848000,0.03700663521885872,0.9681477881968021,1.740117073059082
1908,35700,1.714009277895093,2856000,0.059328652918338776,0.8676332086324692,1.7385942935943604
1909,35800,1.9524819679558276,2864000,0.035962797701358795,0.857479527592659,1.6973985433578491
1908,35900,1.1092762167565524,2872000,0.011403420940041542,0.9689584206789732,1.7106103897094727
1908,36000,1.4869721552357078,2880000,0.011068806052207947,0.98636794090271,1.719316840171814
1908,36100,1.9736516607925296,2888000,0.0242365263402462,0.9764535669237375,1.6881061792373657
1909,36200,1.430941664800048,2896000,0.009010431356728077,0.981021486222744,1.668307900428772
1909,36300,1.8610042514279486,2904000,0.01599164679646492,0.9772439692169428,1.7207372188568115
1909,36400,2.2575856618583203,2912000,0.026718299835920334,0.971982916817069,1.6378071308135986
1909,36500,1.8225461959838867,2920000,0.046983033418655396,0.9008687362074852,1.6946197748184204
1909,36600,2.055925991386175,2928000,0.08790136873722076,0.7343699634075165,1.7320657968521118
1909,36700,1.7730415696278214,2936000,0.045726675540208817,0.8908483758568764,1.7199151515960693
1909,36800,1.2502886536996811,2944000,0.004227692261338234,0.9918884299695492,1.7075401544570923
1909,36900,1.523075833544135,2952000,0.014678530395030975,0.9755386430770159,1.7302837371826172
1910,37000,2.136225743975956,2960000,0.021991180256009102,0.9800407625734806,1.7005202770233154
1909,37100,1.4392555579543114,2968000,0.010726304724812508,0.9807965308427811,1.7282358407974243
1910,37200,1.873582960665226,2976000,0.012837497517466545,0.9808409940451384,1.6734592914581299
1910,37300,2.2067694209516047,2984000,0.010174679569900036,0.9654114879667759,1.6498081684112549
1910,37400,2.086055880226195,2992000,0.021441562101244926,0.9568477049469948,1.6834369897842407
1911,37500,1.0166292496025562,3000000,0.02266988903284073,0.9377515614032745,1.7088428735733032
1911,37600,2.2199488816782833,3008000,0.013245764188468456,0.9886072063818574,1.6593103408813477
1911,37700,1.1584962099557743,3016000,0.007838242687284946,0.9756021481007338,1.7459150552749634
1911,37800,2.392785044014454,3024000,0.010813157074153423,0.9902765834704041,1.6750417947769165
1911,37900,2.0567336358129977,3032000,0.01844191923737526,0.9771367087960243,1.6909029483795166
1911,38000,1.6880972057580947,3040000,0.026019129902124405,0.961965873837471,1.6894853115081787
1911,38100,1.8444357588887215,3048000,0.019253693521022797,0.9716146104037762,1.6472448110580444
1912,38200,1.8192932294681667,3056000,0.034550946205854416,0.9269465804100037,1.7023956775665283
1912,38300,1.567312435200438,3064000,0.05626412108540535,0.8833862766623497,1.7326663732528687
1912,38400,1.2982895605266094,3072000,0.013772931881248951,0.9097584187984467,1.7139514684677124
1912,38500,1.9648558216635137,3080000,0.02408781088888645,0.9691858366131783,1.6602119207382202
1912,38600,1.496303799096495,3088000,0.023307155817747116,0.9714377745985985,1.6765769720077515
1912,38700,2.357765481248498,3096000,0.021575765684247017,0.9787587132304907,1.6596771478652954
1913,38800,2.081241458002478,3104000,0.10325397551059723,0.8800375387072563,1.6369953155517578
1912,38900,2.09695207439363,3112000,0.047406259924173355,0.9152036532759666,1.6244564056396484
1912,39000,2.2128407526761293,3120000,0.026875684037804604,0.9505688399076462,1.589249610900879
1913,39100,2.2882834546267987,3128000,0.03984997421503067,0.9600189253687859,1.6492420434951782
1913,39200,1.6497583756223322,3136000,0.024168649688363075,0.9496920742094517,1.6861660480499268
1913,39300,1.6085998822003602,3144000,0.03788764402270317,0.9230076298117638,1.6844336986541748
1913,39400,1.1194118270883338,3152000,0.0023806451354175806,0.989701833575964,1.7187912464141846
1913,39500,1.7771849680691958,3160000,0.02249371074140072,0.9243249446153641,1.6719659566879272
1914,39600,2.3381610735319556,3168000,0.027403991669416428,0.9445803835988045,1.632619857788086
1914,39700,1.6727810842916369,3176000,0.021837720647454262,0.9621131122112274,1.694380521774292
1914,39800,1.4957957968465052,3184000,0.017762983217835426,0.9509895369410515,1.636368989944458
1914,39900,1.5445645472034812,3192000,0.024292975664138794,0.9481293261051178,1.6854045391082764
1914,40000,1.313387567398604,3200000,0.015554925426840782,0.9828514009714127,1.6601682901382446
1914,40100,1.5906958394218236,3208000,0.03461282327771187,0.948565911501646,1.6927381753921509
1914,40200,1.7954691609367728,3216000,0.08066945523023605,0.8478965163230896,1.6956647634506226
1915,40300,1.5465207280591131,3224000,0.050111740827560425,0.9223040714859962,1.6643571853637695
1915,40400,1.6274680129252375,3232000,0.03721826151013374,0.931187242269516,1.7044118642807007
1915,40500,1.621997550316155,3240000,0.0235795509070158,0.9423068203032017,1.6953891515731812
1915,40600,2.502797582373023,3248000,0.018327055498957634,0.9852230232208967,1.636536955833435
1915,40700,1.840550527605228,3256000,0.04996364563703537,0.8580445200204849,1.6833709478378296
1916,40800,1.4159560756292193,3264000,0.027822231873869896,0.9479969218373299,1.7132114171981812
1916,40900,2.102026890963316,3272000,0.014375905506312847,0.9838985558599234,1.6662412881851196
1916,41000,1.4439195927232504,3280000,0.09595336019992828,0.8897911086678505,1.6715809106826782
1916,41100,2.77707811743021,3288000,0.02344105765223503,0.9616319611668587,1.583601713180542
1917,41200,1.5091917417143121,3296000,0.007843373343348503,0.980992279946804,1.6940075159072876
1917,41300,1.8003661211580038,3304000,0.00782941747456789,0.9914860101416707,1.6594282388687134
1917,41400,1.982012763619423,3312000,0.024491356685757637,0.9621243812143803,1.6961066722869873
1917,41500,1.8825216240715235,3320000,0.02787518873810768,0.9524298682808876,1.5992865562438965
