nupdates,total_timesteps,fps,policy_entropy,explained_variance,value_loss,epsilonValue,avg reward
35300,2824000,1879,1.7396996021270752,0.8799109756946564,0.042976703494787216,0.0007272674597696427,1.6843698667362332
35400,2832000,1879,1.729132890701294,0.987709884531796,0.004870706237852573,0.0007272674597696427,1.4132059797644616
35500,2840000,1879,1.7476646900177002,0.9656216241419315,0.013214168138802052,0.0007272674597696427,1.1932045233435928
35600,2848000,1879,1.7136344909667969,0.914851538836956,0.03901787847280502,0.0007272674597696427,1.705934993363917
35700,2856000,1879,1.7687790393829346,0.929010771214962,0.015181382186710835,0.0007272674597696427,1.3503969099372626
35800,2864000,1880,1.72443425655365,0.9906268557533622,0.005990965757519007,0.0007272674597696427,1.8147458989173173
35900,2872000,1880,1.630568504333496,0.9047696068882942,0.06717672199010849,0.0007272674597696427,1.4622959170839749
36000,2880000,1880,1.7215039730072021,0.9705028217285872,0.011986437253654003,0.0007272674597696427,0.9496855107136071
36100,2888000,1880,1.7350490093231201,0.9151947721838951,0.022159110754728317,0.0007272674597696427,0.7835400571813806
36200,2896000,1880,1.6885898113250732,0.9303570464253426,0.03278001397848129,0.0007272674597696427,1.3369347446598112
36300,2904000,1880,1.7258641719818115,0.9354017674922943,0.01987149380147457,0.0007272674597696427,0.9837588896974921
36400,2912000,1879,1.7651344537734985,0.991703943349421,0.002953988267108798,0.0007272674597696427,1.0252081448212267
36500,2920000,1879,1.679242730140686,0.9847118202596903,0.009452266618609428,0.0007272674597696427,1.2364181542769075
36600,2928000,1879,1.6257727146148682,0.9659296795725822,0.016667932271957397,0.0007272674597696427,1.377036403119564
36700,2936000,1879,1.727111577987671,0.9585877917706966,0.019694237038493156,0.0007272674597696427,1.3711898747831583
36800,2944000,1879,1.750875473022461,0.9197887554764748,0.0388985276222229,0.0007272674597696427,1.570152559503913
36900,2952000,1879,1.6563689708709717,0.9670354910194874,0.023292113095521927,0.0007272674597696427,1.403704774309881
37000,2960000,1880,1.7375316619873047,0.9927541031502187,0.0038784861098974943,0.0007272674597696427,1.3860214467160403
37100,2968000,1880,1.7388616800308228,0.9237266853451729,0.029822643846273422,0.0007272674597696427,1.628614125587046
37200,2976000,1880,1.719766616821289,0.9666736796498299,0.01918019726872444,0.0007272674597696427,1.219681845419109
37300,2984000,1880,1.7181257009506226,0.9738255869597197,0.01439318060874939,0.0007272674597696427,1.3822124133817852
37400,2992000,1880,1.671730399131775,0.9725172314792871,0.013597013428807259,0.0007272674597696427,2.1607641350477933
37500,3000000,1880,1.622398018836975,0.9827824588865042,0.010142137296497822,0.0007272674597696427,1.4327998584602029
37600,3008000,1880,1.6835085153579712,0.9281589165329933,0.03845304250717163,0.0007272674597696427,1.864500631392002
37700,3016000,1881,1.7332566976547241,0.9860480530187488,0.003429476637393236,0.0007272674597696427,0.9892551220953465
37800,3024000,1881,1.701279878616333,0.9555144906044006,0.03452034294605255,0.0007272674597696427,1.3264687997172586
37900,3032000,1881,1.6811792850494385,0.9822986368089914,0.011297618970274925,0.0007272674597696427,1.4178871881216764
38000,3040000,1881,1.6618942022323608,0.972016641870141,0.011574982665479183,0.0007272674597696427,1.4393128708004952
38100,3048000,1881,1.7113533020019531,0.8904570862650871,0.09800946712493896,0.0007272674597696427,1.2315391291864217
38200,3056000,1881,1.746410608291626,0.9804836064577103,0.015486541204154491,0.0007272674597696427,1.8884653510758653
38300,3064000,1882,1.6698585748672485,0.9883666913956404,0.004904326982796192,0.0007272674597696427,1.3127939036581666
38400,3072000,1882,1.7576631307601929,0.9710605964064598,0.013331318274140358,0.0007272674597696427,1.1588378842454403
38500,3080000,1882,1.6600624322891235,0.9572897665202618,0.019717862829566002,0.0007272674597696427,2.1027977008372547
38600,3088000,1882,1.699228286743164,0.9766085930168629,0.01121890265494585,0.0007272674597696427,1.4416225818684325
38700,3096000,1882,1.6666984558105469,0.9904329460114241,0.006968381814658642,0.0007272674597696427,1.794860847585369
38800,3104000,1882,1.7303663492202759,0.9668359719216824,0.015881789848208427,0.0007272674597696427,1.5710719462484122
38900,3112000,1882,1.6588993072509766,0.9888869794085622,0.0064925216138362885,0.0007272674597696427,1.6409360310062766
39000,3120000,1882,1.6592016220092773,0.969654617831111,0.01969212293624878,0.0007272674597696427,1.87704565981403
39100,3128000,1882,1.6913039684295654,0.9220429211854935,0.022896112874150276,0.0007272674597696427,1.3752084929030388
39200,3136000,1882,1.663235068321228,0.9542605504393578,0.03263986110687256,0.0007272674597696427,1.655809798836708
39300,3144000,1882,1.6915569305419922,0.9526441805064678,0.014478161931037903,0.0007272674597696427,1.2869223191402852
39400,3152000,1882,1.6334011554718018,0.954533513635397,0.025302141904830933,0.0007272674597696427,1.9060857599601149
39500,3160000,1882,1.7104469537734985,0.8836974576115608,0.029383808374404907,0.0007272674597696427,1.9778295531868935
39600,3168000,1882,1.6842734813690186,0.9031932279467583,0.040587954223155975,0.0007272674597696427,1.8620985571295023
39700,3176000,1882,1.702715277671814,0.9700311608612537,0.012750871479511261,0.0007272674597696427,1.4731566017493605
39800,3184000,1882,1.719598412513733,0.9170234575867653,0.037284620106220245,0.0007272674597696427,1.2142005720175804
39900,3192000,1882,1.7084875106811523,0.9712482374161482,0.011981921270489693,0.0007272674597696427,1.0740152748301626
40000,3200000,1883,1.7297204732894897,0.9885435793548822,0.006678421050310135,0.0007272674597696427,1.043037619885581
40100,3208000,1883,1.7610747814178467,0.9089484810829163,0.047997720539569855,0.0007272674597696427,1.325959433335811
40200,3216000,1883,1.7207504510879517,0.8649776875972748,0.0558043010532856,0.0007272674597696427,1.6134591903537512
40300,3224000,1883,1.760363221168518,0.9728686846792698,0.011693969368934631,0.0007272674597696427,1.4279891771264375
40400,3232000,1883,1.7528584003448486,0.8120428174734116,0.10085006803274155,0.0007272674597696427,0.9462991463020444
40500,3240000,1883,1.7191133499145508,0.9591504260897636,0.017528263852000237,0.0007272674597696427,1.6850544551096391
40600,3248000,1883,1.6551843881607056,0.9632818177342415,0.025489280000329018,0.0007272674597696427,1.9310761967673897
40700,3256000,1883,1.7519943714141846,0.9303430393338203,0.017055563628673553,0.0007272674597696427,1.0874787245877087
40800,3264000,1883,1.6911165714263916,0.8662792891263962,0.015298627316951752,0.0007272674597696427,1.6227998331189155
40900,3272000,1883,1.7324784994125366,0.8871303796768188,0.03904399648308754,0.0007272674597696427,1.2693114118650555
41000,3280000,1883,1.7238826751708984,0.9358767718076706,0.028952637687325478,0.0007272674597696427,1.6708494656719268
41100,3288000,1883,1.7367579936981201,0.9831118546426296,0.006550783757120371,0.0007272674597696427,1.631445449218154
