fps,explained_variance,total_timesteps,value_loss,avg reward,policy_entropy,nupdates
1996,-0.4405885934829712,3952000,6.3759521253814455e-06,-0.0036829700260568644,2.1972110271453857,49400
1996,-0.7950350046157837,3960000,3.2989896681101527e-06,0.0008046646073125885,2.1972222328186035,49500
1997,-0.2858957052230835,3968000,9.002053047879599e-06,-0.0003324985904328059,2.1972224712371826,49600
1997,-0.17095959186553955,3976000,1.750346768858435e-06,0.0012736692229736945,2.1972203254699707,49700
1997,-0.42919373512268066,3984000,1.9006973161594942e-05,0.0011641094028163935,2.197218894958496,49800
1996,-1.0261738300323486,3992000,2.7329367640049895e-06,-0.0009762471223439207,2.1972217559814453,49900
1997,0.2896851897239685,4000000,1.6605096107014106e-06,0.00020333208060492326,2.1972055435180664,50000
1997,-0.4429730176925659,4008000,3.6684621136373607e-06,3.937242104257166e-05,2.1972227096557617,50100
1997,-1.575505018234253,4016000,2.0656736523960717e-05,-0.0010389943872723961,2.1972200870513916,50200
1997,-2.0199694633483887,4024000,3.53025711774535e-06,-0.0018151455734368937,2.197221040725708,50300
1997,0.028493642807006836,4032000,1.2360161235847045e-05,-0.001020152183400569,2.197221040725708,50400
1997,-1.281661033630371,4040000,1.017236900224816e-05,-0.0004926485136820702,2.19722056388855,50500
1997,-1.468644380569458,4048000,2.5204849407600705e-06,0.00028293580903664405,2.197221279144287,50600
1997,0.08985847234725952,4056000,2.4946907615230884e-06,0.0023137973357734154,2.197213649749756,50700
1997,-0.2618694305419922,4064000,4.671907845477108e-06,-0.0007441822521059294,2.197221279144287,50800
1997,0.08212435245513916,4072000,7.501002983190119e-06,0.0031680854168371297,2.197221040725708,50900
1997,-0.6231502294540405,4080000,1.7359740240863175e-06,0.0009940744346749852,2.1972203254699707,51000
1997,-0.3965010643005371,4088000,1.1530759365996346e-05,0.00024830579568515534,2.19722056388855,51100
1997,-0.5943440198898315,4096000,3.5080033740086947e-06,0.0008823418262181804,2.1972217559814453,51200
1997,-0.24124646186828613,4104000,2.6618240553943906e-06,-0.0007393295833935554,2.1972217559814453,51300
1997,-0.2507976293563843,4112000,5.719521141145378e-06,-0.002066653780229899,2.1972081661224365,51400
1997,-0.13906431198120117,4120000,4.760944648296572e-06,-0.0014598589135857765,2.1972222328186035,51500
1997,-0.33747243881225586,4128000,8.166473890014458e-06,-0.0006885463140861248,2.1972196102142334,51600
1998,-0.7269392013549805,4136000,9.851612503553042e-07,0.00012129738424846437,2.19722056388855,51700
1998,-0.8794196844100952,4144000,1.153667108155787e-05,-3.6045201977685795e-05,2.1972177028656006,51800
1997,-0.4707341194152832,4152000,3.152998033328913e-06,-5.283044902171241e-05,2.1972217559814453,51900
1997,-0.19910168647766113,4160000,1.695270839263685e-06,8.16625992229092e-05,2.1972076892852783,52000
1997,-1.138310194015503,4168000,3.8869029594934545e-06,-0.0008101362415800395,2.1972222328186035,52100
1997,-1.5167932510375977,4176000,7.383946012851084e-06,-0.002535679065522345,2.197221279144287,52200
1998,-0.5474257469177246,4184000,1.3562701042246772e-06,-0.0014842865078207978,2.1972217559814453,52300
1998,-1.1960632801055908,4192000,1.0804945304698776e-05,-0.002719775963851134,2.1972222328186035,52400
1997,-1.7444751262664795,4200000,4.251797690812964e-06,1.4823690071352757e-05,2.1972227096557617,52500
1997,-1.4585680961608887,4208000,1.9621609226305736e-06,-0.0015111501830688211,2.1972224712371826,52600
1997,-1.5681695938110352,4216000,4.04423462896375e-06,-0.0007763483770304447,2.1972153186798096,52700
1997,-0.4989950656890869,4224000,3.37789651894127e-06,-0.00011907991938642226,2.1972219944000244,52800
1998,-0.8014975786209106,4232000,1.3999563634570222e-05,-0.0010836151599505684,2.1972217559814453,52900
1998,0.18772739171981812,4240000,8.58793839597638e-07,0.002337958037833232,2.197221279144287,53000
1998,-1.0651533603668213,4248000,1.0568754078121856e-05,2.567596802691696e-05,2.1972217559814453,53100
1997,-0.3808150291442871,4256000,2.8141753318777774e-06,0.0008188890826204443,2.19722318649292,53200
1998,-0.9612728357315063,4264000,3.3253218134632334e-06,-0.0010354215308325365,2.1972227096557617,53300
