fps,explained_variance,nupdates,value_loss,total_timesteps,avg reward,policy_entropy
1843,0.9990119715221226,104200,0.02292976900935173,8336000,5.675950783165172,1.3658599853515625
1843,0.9995742239698302,104300,0.012071648612618446,8344000,6.415144433267415,1.4568545818328857
1843,0.9995259030547459,104400,0.02572566643357277,8352000,9.481709874188528,1.2853864431381226
1843,0.9662532471120358,104500,0.3219347894191742,8360000,3.555402780137956,1.5040301084518433
1843,0.9980734313139692,104600,0.03513392060995102,8368000,5.9416124008595945,1.404544711112976
1843,0.9993228142848238,104700,0.02672407403588295,8376000,7.186186848301441,1.4104408025741577
1843,0.9996159744041506,104800,0.014573994092643261,8384000,9.005487592890859,1.2104146480560303
1843,0.9972226454410702,104900,0.052915532141923904,8392000,4.920683144382201,1.4623887538909912
1843,0.9903358658775687,105000,0.08409598469734192,8400000,6.154254179634154,1.3481886386871338
1843,-0.16222929954528809,105100,9.800688743591309,8408000,3.7589499769732355,1.3808448314666748
1843,0.9979152334854007,105200,0.08397281914949417,8416000,9.291116663068532,1.0982410907745361
1844,0.9985623570391908,105300,0.08081705123186111,8424000,9.473627681308425,1.1885697841644287
1844,0.9964267266914248,105400,0.08894532173871994,8432000,5.077575256628916,1.3792576789855957
1844,0.9918540921062231,105500,0.13042083382606506,8440000,6.076050616614521,1.2136930227279663
1844,0.9991614993778057,105600,0.020224694162607193,8448000,7.392534424737096,1.349327802658081
1844,0.9975664238445461,105700,0.05361800268292427,8456000,6.026224758951867,1.3976750373840332
1844,0.9979101540520787,105800,0.04133275896310806,8464000,6.659939825255424,1.2852585315704346
1844,0.9996606575150508,105900,0.015660639852285385,8472000,7.139915502452641,1.3200604915618896
1844,0.9985826734919101,106000,0.06339038163423538,8480000,9.423211770132184,1.2251173257827759
1844,0.8541005998849869,106100,8.21889591217041,8488000,9.07827710377751,1.3830854892730713
1845,0.9973285461310297,106200,0.026642343029379845,8496000,3.362347648300056,1.5490448474884033
1845,0.996884832624346,106300,0.10163561254739761,8504000,7.558718634140678,1.3408105373382568
1845,0.9987050193594769,106400,0.035976558923721313,8512000,5.991061838157475,1.3736190795898438
1845,0.9992172221536748,106500,0.04670146480202675,8520000,8.55876799969119,1.2506378889083862
1845,0.9982994097517803,106600,0.056072898209095,8528000,5.43616719605634,1.5439409017562866
1845,0.9987095820251852,106700,0.043941158801317215,8536000,7.947418075799942,1.36489737033844
1845,0.99810440314468,106800,0.0574771948158741,8544000,6.908654489740729,1.289947271347046
1845,0.9994678588118404,106900,0.02265896089375019,8552000,8.40950355939567,1.3347724676132202
1846,0.9987870326731354,107000,0.04144655168056488,8560000,6.94345564020332,1.2904889583587646
1846,0.9993498825933784,107100,0.04455139487981796,8568000,9.9074791966239,1.2962405681610107
1846,0.9950120653957129,107200,0.05113225057721138,8576000,5.552365378849208,1.4906713962554932
1846,0.9985872695688158,107300,0.042660269886255264,8584000,6.578929379815236,1.3394792079925537
1846,0.9842309728264809,107400,0.33120089769363403,8592000,5.3373379718512295,1.3244802951812744
1846,0.9995169399771839,107500,0.024287382140755653,8600000,7.393249648809433,1.3544617891311646
1846,0.9969752854667604,107600,0.05207567289471626,8608000,8.048814861290158,1.2943506240844727
1847,0.9987582492176443,107700,0.018801921978592873,8616000,5.683234867267311,1.4481006860733032
1847,0.9726497512310743,107800,0.4078288674354553,8624000,6.293587107723579,1.3443986177444458
1847,0.9870541570708156,107900,0.1840253621339798,8632000,4.9764613217732405,1.4015482664108276
1847,0.9746753722429276,108000,0.1790849268436432,8640000,3.508951788023114,1.5888111591339111
1847,0.9993234255816787,108100,0.01924201473593712,8648000,9.032596388459206,1.2135908603668213
1847,0.9988332701614127,108200,0.026112724095582962,8656000,4.529981718678028,1.4243621826171875
1847,0.9990050429478288,108300,0.032034408301115036,8664000,11.91850667372346,1.1694086790084839
1848,0.9985217557987198,108400,0.038758449256420135,8672000,2.6849792203400282,1.6032249927520752
1848,0.9979840042069554,108500,0.08496086299419403,8680000,9.984586490876973,1.292658805847168
1848,0.9993950056959875,108600,0.019957030192017555,8688000,6.933763374853879,1.294478178024292
1847,0.9991648273426108,108700,0.03248123452067375,8696000,8.166759470850229,1.328729271888733
1848,0.9990350597072393,108800,0.03307437151670456,8704000,7.904885029606521,1.1627737283706665
1848,0.9540755078196526,108900,0.9145945310592651,8712000,5.46861034554895,1.380045771598816
1848,0.9982519855257124,109000,0.06253665685653687,8720000,7.084848678298295,1.323264241218567
1848,0.998729950748384,109100,0.02781170979142189,8728000,6.604007109825034,1.3218724727630615
1848,0.9804861340671778,109200,0.7146263718605042,8736000,6.2608253849670294,1.3493626117706299
1848,0.997971921460703,109300,0.029323691502213478,8744000,4.656808473635465,1.425755262374878
1848,0.9910664996132255,109400,0.2794484794139862,8752000,7.368889023177326,1.341630220413208
1848,0.999062375689391,109500,0.011416276916861534,8760000,3.7543997601955197,1.4252126216888428
1848,0.9921417627483606,109600,0.2554927468299866,8768000,6.206907853111625,1.3169769048690796
1849,0.9995400058687665,109700,0.023466479033231735,8776000,8.21647463515401,1.3346680402755737
1849,0.9994531544507481,109800,0.024620048701763153,8784000,7.6161068549379705,1.3373303413391113
1849,0.996980883879587,109900,0.09671621769666672,8792000,7.738947320822627,1.2829803228378296
1849,0.9785848390311003,110000,0.42076054215431213,8800000,5.277550270268693,1.4249796867370605
1849,0.9971318372990936,110100,0.03620630502700806,8808000,4.954994413047098,1.2888846397399902
1849,0.9994963112403639,110200,0.0139637915417552,8816000,7.312589976936579,1.288551926612854
1849,0.9979589101858437,110300,0.07823417335748672,8824000,7.910938950907439,1.2291839122772217
1849,0.9966308332514018,110400,0.18649893999099731,8832000,9.647396174352616,1.2471721172332764
1849,0.9985119607299566,110500,0.028823867440223694,8840000,6.417521005496383,1.4681222438812256
1849,0.9980560956755653,110600,0.05174843594431877,8848000,8.50383895523846,1.2607409954071045
1849,0.998775334446691,110700,0.020944517105817795,8856000,3.55008637602441,1.5082625150680542
1849,0.9803835097700357,110800,0.03442195802927017,8864000,1.1382844371721148,1.5077818632125854
1849,0.9692611563950777,110900,0.02901473641395569,8872000,0.9621715825051069,1.6719344854354858
1849,0.9962548213079572,111000,0.011246835812926292,8880000,1.1567958256113342,1.5045409202575684
1849,0.9953724057413638,111100,0.03534780815243721,8888000,2.869588684150949,1.50290846824646
1849,0.9675579145550728,111200,0.20894679427146912,8896000,3.3857559274882076,1.4523701667785645
1849,0.9976250347681344,111300,0.016888361424207687,8904000,2.393160063918913,1.4510555267333984
1850,0.996194415492937,111400,0.1720193475484848,8912000,7.684106932580471,1.3789056539535522
1850,0.9973490806296468,111500,0.033533595502376556,8920000,5.371063286717981,1.422502040863037
1850,0.996813845820725,111600,0.034776829183101654,8928000,5.531204146519303,1.3346455097198486
1850,0.9980899702059105,111700,0.03543758764863014,8936000,4.601325386820827,1.4716838598251343
1850,0.9996101308206562,111800,0.016881804913282394,8944000,9.578887545200995,1.3685271739959717
1850,0.9872345654293895,111900,0.12092781066894531,8952000,3.460846370458603,1.4055174589157104
1850,0.9984709767159075,112000,0.01617071032524109,8960000,3.2773544404422865,1.5174775123596191
1850,0.9967461032792926,112100,0.02422577142715454,8968000,3.205860136821866,1.5073894262313843
1850,0.9871091023087502,112200,0.16153644025325775,8976000,4.718194105755538,1.4759546518325806
1851,0.9841410499066114,112300,0.5135840177536011,8984000,6.099628236645367,1.4143778085708618
1851,0.9996466346201487,112400,0.008492568507790565,8992000,6.755818042869214,1.3172757625579834
1851,0.9992346460931003,112500,0.01588609628379345,9000000,6.5720992527902125,1.4215658903121948
1851,0.9992535979836248,112600,0.01993454061448574,9008000,4.616796534648165,1.451349139213562
1851,0.9987992641981691,112700,0.04142973944544792,9016000,7.28123356923461,1.404651165008545
1851,0.9989782616030425,112800,0.033667419105768204,9024000,6.594537572935224,1.4836409091949463
1851,0.9973077792674303,112900,0.08306175470352173,9032000,7.096563266124576,1.4399553537368774
1851,0.9990282543003559,113000,0.03347611054778099,9040000,8.816080803703517,1.309039831161499
1851,0.9981286136899143,113100,0.05450628325343132,9048000,6.478869262814987,1.4821668863296509
1851,0.9994432686362416,113200,0.0159158892929554,9056000,8.492778036743402,1.44382643699646
1852,0.9994126285309903,113300,0.02163165807723999,9064000,7.677024452015758,1.391765832901001
1852,0.9984300261130556,113400,0.030788859352469444,9072000,5.77486910634907,1.5260896682739258
1852,0.9990474047372118,113500,0.03511966019868851,9080000,8.923544599860907,1.399214744567871
1852,0.9991351746139117,113600,0.03555358201265335,9088000,8.440397980809212,1.3354768753051758
1852,0.9982783969026059,113700,0.03950769454240799,9096000,6.181654909811914,1.4125921726226807
1852,0.9985265829600394,113800,0.02166403830051422,9104000,5.5741018439177425,1.49979567527771
1852,0.9983383824583143,113900,0.036549005657434464,9112000,5.84963442995213,1.4352788925170898
1853,0.9986506225541234,114000,0.03428706154227257,9120000,5.198702572006733,1.414544701576233
1853,0.9991620307555422,114100,0.0369764044880867,9128000,10.185815837344853,1.264660120010376
1853,0.9996848867740482,114200,0.015105554834008217,9136000,6.661462670541368,1.4754146337509155
1853,0.9954302771948278,114300,0.07818714529275894,9144000,6.835935637073999,1.3104145526885986
1853,0.9864337025210261,114400,0.4942934513092041,9152000,6.187172809243203,1.4157981872558594
1853,0.9988078629830852,114500,0.06295125186443329,9160000,9.843560184817761,1.2488747835159302
1853,0.9927821229211986,114600,0.04925815016031265,9168000,2.4117025206796825,1.5311784744262695
1853,0.9948535333387554,114700,0.10773905366659164,9176000,9.34073973679915,1.3542375564575195
1853,0.9988832516828552,114800,0.029815882444381714,9184000,4.145393544062972,1.5691484212875366
1853,0.9884324809536338,114900,0.3572689890861511,9192000,9.82159300125204,1.2814817428588867
1853,0.9992653095396236,115000,0.02502397634088993,9200000,8.85942216105759,1.3153839111328125
1853,0.9986664984608069,115100,0.008290691301226616,9208000,2.2420432495418936,1.5048118829727173
1853,0.9985746595775709,115200,0.016026120632886887,9216000,5.367530558444559,1.4348080158233643
1853,0.9683066755533218,115300,1.0341522693634033,9224000,6.756361766438931,1.3606367111206055
1854,0.9968785955570638,115400,0.05341536924242973,9232000,6.511600556317717,1.4146697521209717
1854,0.9993991412338801,115500,0.017454007640480995,9240000,6.497180158412084,1.3612511157989502
1854,0.9998770129896002,115600,0.003789180191233754,9248000,5.346521464642137,1.4904967546463013
1854,0.998757378780283,115700,0.06336621195077896,9256000,7.904478460364044,1.396544098854065
1854,0.9973442880436778,115800,0.04808405786752701,9264000,4.539850537106394,1.5315029621124268
1854,0.9979065905790776,115900,0.02051611803472042,9272000,6.375056751817465,1.401281714439392
1854,0.9090950861573219,116000,1.2056106328964233,9280000,4.5564420010894535,1.3864691257476807
1854,0.9965361065696925,116100,0.1695524901151657,9288000,7.567321915365755,1.294325351715088
1854,0.9950276184827089,116200,0.10872495174407959,9296000,9.151570230163633,1.2338526248931885
1855,0.9995232420042157,116300,0.023390304297208786,9304000,7.14090324388817,1.3649625778198242
1855,0.9984944718889892,116400,0.05259668081998825,9312000,8.435057860752568,1.3517427444458008
1855,0.9925073846243322,116500,0.2368832379579544,9320000,3.990484990652476,1.3830236196517944
1855,0.9984871003543958,116600,0.07278738170862198,9328000,10.310628729127348,1.2834208011627197
1855,0.8566812723875046,116700,7.42574405670166,9336000,8.741863199975342,1.2897922992706299
1855,0.9992851922288537,116800,0.0338258221745491,9344000,9.911630039662123,1.3709231615066528
1855,0.7866767942905426,116900,5.885272979736328,9352000,4.842206222820096,1.5239207744598389
1855,0.9985789180500433,117000,0.038972727954387665,9360000,8.030676081543788,1.4037412405014038
1855,0.9987569449003786,117100,0.01854056492447853,9368000,4.239699261658825,1.5734840631484985
1855,0.9975424834992737,117200,0.0932522639632225,9376000,8.811974054947495,1.1757597923278809
1855,0.9979185864794999,117300,0.024857359007000923,9384000,4.995503661688417,1.4922378063201904
1855,0.995696275960654,117400,0.05106021836400032,9392000,4.092517206631601,1.5557066202163696
1855,0.9616982080042362,117500,0.26413199305534363,9400000,3.1103724732995035,1.4985734224319458
1856,0.99491309793666,117600,0.12875735759735107,9408000,7.066696465481073,1.4872469902038574
1856,0.9997821352881147,117700,0.009391536004841328,9416000,6.635127171501518,1.5093681812286377
1856,0.9979596582707018,117800,0.04968468099832535,9424000,7.969155782111921,1.368015170097351
1856,0.9994161336217076,117900,0.017868205904960632,9432000,7.416774534806609,1.3961745500564575
1856,0.9991085717338137,118000,0.025799915194511414,9440000,7.328764202294406,1.27619206905365
1856,0.9962131569627672,118100,0.034748949110507965,9448000,3.6925114227691664,1.5074498653411865
1856,0.9978370172902942,118200,0.0393645241856575,9456000,5.987570994987618,1.4491838216781616
1857,0.9986144882859662,118300,0.059069257229566574,9464000,6.879726307466626,1.4837262630462646
1857,0.9994497103034519,118400,0.020767109468579292,9472000,11.100982878636568,1.1961944103240967
1857,0.9979067763779312,118500,0.040793053805828094,9480000,5.035788638889789,1.3723920583724976
1857,0.9978662759531289,118600,0.022970695048570633,9488000,5.255056941136718,1.484541893005371
1857,0.9992755817365833,118700,0.012732578441500664,9496000,5.180609251651913,1.5074093341827393
1857,0.9998593372147297,118800,0.004749853629618883,9504000,4.918515054322779,1.383711576461792
1857,0.9972187934909016,118900,0.03570440411567688,9512000,5.235876307080616,1.5379899740219116
1857,0.997001962736249,119000,0.04800732806324959,9520000,6.005363210244104,1.347957968711853
1857,0.9920097198337317,119100,0.18438179790973663,9528000,6.520215543266386,1.4027879238128662
1857,0.9946318790316582,119200,0.1692160665988922,9536000,7.628168159932829,1.365027666091919
1857,0.9885245421901345,119300,0.1797025501728058,9544000,6.217558382079005,1.4413528442382812
1857,0.9957056362181902,119400,0.20001931488513947,9552000,5.92191818614956,1.4234254360198975
1857,0.9979396176058799,119500,0.06976799666881561,9560000,7.062414079811424,1.4145737886428833
1857,0.9977901098318398,119600,0.09379167854785919,9568000,9.894740612525492,1.3206201791763306
1857,0.9991745456354693,119700,0.047032345086336136,9576000,7.243926547805313,1.4488589763641357
1857,0.9978904421441257,119800,0.06485535949468613,9584000,8.887586071062833,1.4396171569824219
1857,0.9984730585711077,119900,0.03607869893312454,9592000,7.00880988840945,1.4746145009994507
1857,0.9987892817007378,120000,0.02036706544458866,9600000,6.276219103531912,1.4535362720489502
1858,0.9962258217856288,120100,0.0671742781996727,9608000,6.480438478570432,1.3289953470230103
1858,0.9176757782697678,120200,1.0788310766220093,9616000,4.596024050097912,1.3280376195907593
1858,0.9996102782606613,120300,0.02315155789256096,9624000,9.132456492993516,1.433205008506775
1858,0.9941744827665389,120400,0.2062029093503952,9632000,5.771559367515147,1.4252781867980957
1858,0.9992898931959644,120500,0.020685210824012756,9640000,7.651668075844645,1.4476560354232788
1858,0.9990109365899116,120600,0.014845043420791626,9648000,5.040919492579997,1.4183571338653564
1858,0.9992721893358976,120700,0.037236638367176056,9656000,8.545749972375052,1.4325847625732422
1858,0.9978442338760942,120800,0.024848636239767075,9664000,5.353802651539445,1.3594474792480469
1858,0.9963501722086221,120900,0.11391150951385498,9672000,7.250867661833763,1.3872658014297485
1858,0.9958873325958848,121000,0.23479323089122772,9680000,10.590004124119877,1.28854238986969
1858,0.9992190014454536,121100,0.02859577164053917,9688000,9.04956841710955,1.3617770671844482
1858,0.9983600127743557,121200,0.042713262140750885,9696000,5.761439114436508,1.4873954057693481
1859,0.9991468566004187,121300,0.0326310470700264,9704000,7.653548631910235,1.430868148803711
1859,0.998357234406285,121400,0.03067723847925663,9712000,8.263928277604283,1.3184089660644531
1859,0.9987640207400545,121500,0.018895955756306648,9720000,4.075665376149118,1.4902547597885132
1859,0.9955472722649574,121600,0.13143116235733032,9728000,9.611199960950762,1.2964675426483154
1859,0.7060667872428894,121700,9.12575912475586,9736000,5.539939382718876,1.3975036144256592
1859,0.9960911017842591,121800,0.1372089833021164,9744000,6.855082290247083,1.510732889175415
1859,0.9993203668273054,121900,0.02510036528110504,9752000,6.652834073081612,1.3749613761901855
1859,0.998105734703131,122000,0.04353361576795578,9760000,4.883038121555001,1.5314890146255493
1859,0.9976652220357209,122100,0.10274986177682877,9768000,6.6265568665694445,1.5632154941558838
1859,0.9966824816074222,122200,0.14162251353263855,9776000,8.421087783202529,1.4222667217254639
1859,0.9976462472695857,122300,0.10102883726358414,9784000,10.322210311889648,1.3481364250183105
1860,0.9828668255358934,122400,0.5198908448219299,9792000,7.678025333583355,1.368835687637329
1860,0.9980821195058525,122500,0.0817682072520256,9800000,8.21303693279624,1.3726415634155273
1860,0.9292520359158516,122600,3.4710910320281982,9808000,8.686580139538274,1.312725305557251
1860,0.9992766113718972,122700,0.028817009180784225,9816000,7.77992684058845,1.448473572731018
1860,0.9951911848038435,122800,0.14633509516716003,9824000,7.0583620694931595,1.4179785251617432
1860,0.9982461982872337,122900,0.025848472490906715,9832000,4.218184889853001,1.545773983001709
1860,0.9976888429373503,123000,0.022888395935297012,9840000,4.785489917732775,1.5029221773147583
1860,0.9995222407451365,123100,0.009680722840130329,9848000,5.044711244478822,1.4019505977630615
