total_timesteps,explained_variance,value_loss,fps,avg reward,policy_entropy,nupdates,learning rate
6224000,0.0,0.02784331701695919,2100,-1.8636332273483276,1.7694966793060303,77800,0.01
6232000,0.0,0.001977552194148302,2100,-1.8686825037002563,1.776617407798767,77900,0.01
6240000,0.0,0.0020959326066076756,2100,-1.9238014221191406,1.7811485528945923,78000,0.01
6248000,-1.1920928955078125e-07,0.03309211879968643,2100,-1.9700476795434951,1.7879356145858765,78100,0.01
6256000,-1.1920928955078125e-07,0.06439486891031265,2101,-2.212658977508545,1.7821428775787354,78200,0.01
6264000,0.0,0.024057190865278244,2100,-2.068623070418835,1.7889156341552734,78300,0.01
6272000,0.0,0.01761590503156185,2100,-2.0089247167110442,1.7829052209854126,78400,0.01
6280000,0.0,0.028028730303049088,2101,-2.039325420558453,1.7887794971466064,78500,0.01
6288000,0.0,0.04390154033899307,2101,-2.148201289772987,1.7903339862823486,78600,0.01
6296000,5.960464477539063e-08,0.04869451746344566,2101,-2.2617410838603975,1.7890913486480713,78700,0.01
6304000,-0.0007768869400024414,0.04504837840795517,2101,-2.128363207727671,1.7862396240234375,78800,0.01
6312000,0.0,0.017696231603622437,2101,-2.1109591901302336,1.7848470211029053,78900,0.01
6320000,0.0,0.0018187316600233316,2101,-1.7920729398727417,1.782504677772522,79000,0.01
6328000,0.0,0.017485523596405983,2101,-1.7944976732134819,1.7835499048233032,79100,0.01
6336000,0.0,0.05921883136034012,2101,-1.96062683314085,1.7866261005401611,79200,0.01
6344000,0.003003060817718506,0.012256942689418793,2101,-2.030575896799564,1.7886550426483154,79300,0.01
6352000,0.0,0.012380355969071388,2101,-2.028949885070324,1.7852668762207031,79400,0.01
6360000,1.7881393432617188e-07,0.022621478885412216,2101,-2.0253534272313116,1.7839046716690063,79500,0.01
6368000,-0.00036394596099853516,0.04805512726306915,2101,-1.8784437984228135,1.7753067016601562,79600,0.01
6376000,0.0,0.08675597608089447,2101,-1.9319485962390899,1.7860004901885986,79700,0.01
6384000,1.1920928955078125e-07,0.027856728062033653,2101,-1.841579554975033,1.787604570388794,79800,0.01
6392000,-0.0005644559860229492,0.0791468620300293,2101,-1.7438855350017548,1.7879995107650757,79900,0.01
6400000,0.0,0.027921685948967934,2101,-1.745383183658123,1.779470443725586,80000,0.01
6408000,-1.1920928955078125e-07,0.017283247783780098,2101,-1.8291068345308303,1.7698776721954346,80100,0.01
6416000,0.0,0.03328938037157059,2101,-1.8798938289284706,1.7620598077774048,80200,0.01
6424000,0.0,0.043413225561380386,2101,-2.08925816565752,1.7756706476211548,80300,0.01
6432000,0.0,0.02860702946782112,2101,-2.115879413485527,1.7734721899032593,80400,0.01
6440000,0.0,0.028678610920906067,2101,-2.2472018152475357,1.7716020345687866,80500,0.01
6448000,-5.7220458984375e-06,0.017699744552373886,2101,-2.115028938651085,1.761155366897583,80600,0.01
6456000,2.5391578674316406e-05,0.023054633289575577,2101,-2.0790498092770577,1.7545270919799805,80700,0.01
6464000,0.0019264817237854004,0.06448192894458771,2101,-2.215805208683014,1.7748985290527344,80800,0.01
6472000,0.0,0.03311888501048088,2101,-2.125863528251648,1.7686229944229126,80900,0.01
6480000,0.0,0.05466540902853012,2101,-2.2969980597496034,1.7528231143951416,81000,0.01
6488000,0.0,0.09913372993469238,2101,-2.52767793238163,1.7515331506729126,81100,0.01
6496000,-2.384185791015625e-07,0.028685864061117172,2101,-2.258818933367729,1.7735633850097656,81200,0.01
6504000,0.0,0.03786191716790199,2101,-2.335550141334534,1.7732446193695068,81300,0.01
