total_timesteps,fps,policy_entropy,explained_variance,nupdates,value_loss,avgReward
4784000,860,1.071158766746521,0.8781304508447647,59800,0.008807146921753883,1.6041006401181221
4792000,860,0.9972454309463501,0.8055134117603302,59900,0.019964957609772682,1.5509378716349602
4800000,860,1.068765640258789,0.859569251537323,60000,0.02245299145579338,1.6550623580813408
4808000,861,1.0054399967193604,0.7028234302997589,60100,0.05084485933184624,1.5475963547825813
4816000,861,0.9392264485359192,0.10159575939178467,60200,0.02860412374138832,1.6983635663986205
4824000,861,1.0523349046707153,0.8144107460975647,60300,0.014005778357386589,1.664005023241043
4832000,861,0.9654132723808289,0.7325249016284943,60400,0.03569086641073227,1.7074704617261887
4840000,861,1.0348176956176758,0.8462065309286118,60500,0.01131374854594469,1.7960093423724175
4848000,861,0.967779815196991,0.8537185192108154,60600,0.014902850612998009,1.4673767313361168
4856000,861,1.0461949110031128,0.467798113822937,60700,0.05121355503797531,1.720622979104519
4864000,861,1.0169206857681274,0.7537878900766373,60800,0.0242703128606081,1.471821166574955
4872000,861,1.0029675960540771,0.5406884849071503,60900,0.03697659820318222,1.6901655174791812
4880000,861,1.049532413482666,0.7430523037910461,61000,0.022734936326742172,1.8841944962739945
4888000,861,1.0241196155548096,0.8652970492839813,61100,0.008304564282298088,1.7445223227143287
4896000,862,0.9781761169433594,0.6431282758712769,61200,0.03171165660023689,1.911077517271042
4904000,862,1.028424620628357,0.8560443371534348,61300,0.019005287438631058,1.7504129499197005
4912000,862,1.0665457248687744,0.7572400867938995,61400,0.029347192496061325,1.8408219184726478
